Team_to,Season,country_name,fees
SSC Napoli,2004-2005,Italy,4000000
Inter,2004-2005,Italy,5950000
Catania,2004-2005,Italy,3200000
Bari,2004-2005,Italy,2000000
AC Milan,2005-2006,Italy,33500000
Juventus,2005-2006,Italy,27700000
Inter,2005-2006,Italy,28000000
Fiorentina,2005-2006,Italy,27000000
US Palermo,2005-2006,Italy,8000000
Lazio,2005-2006,Italy,6000000
Udinese Calcio,2005-2006,Italy,5000000
Cagliari Calcio,2005-2006,Italy,5000000
Parma,2005-2006,Italy,4150000
Torino,2005-2006,Italy,3600000
Le Mans FC,2005-2006,Italy,3500000
Inter,2006-2007,Italy,46600000
AC Milan,2006-2007,Italy,38050000
AS Roma,2006-2007,Italy,16000000
US Palermo,2006-2007,Italy,22750000
Fiorentina,2006-2007,Italy,14800000
Sampdoria,2006-2007,Italy,8250000
Le Mans FC,2006-2007,Italy,4500000
Torino,2006-2007,Italy,4100000
Juventus,2006-2007,Italy,4000000
Lazio,2006-2007,Italy,9650000
Chievo Verona,2006-2007,Italy,3000000
Udinese Calcio,2006-2007,Italy,5700000
AC Milan,2007-2008,Italy,29000000
AS Roma,2007-2008,Italy,48800000
Inter,2007-2008,Italy,36500000
Juventus,2007-2008,Italy,36500000
Udinese Calcio,2007-2008,Italy,15800000
Brescia,2007-2008,Italy,7000000
SSC Napoli,2007-2008,Italy,31900000
Fiorentina,2007-2008,Italy,14500000
Parma,2007-2008,Italy,10200000
US Palermo,2007-2008,Italy,17300000
Sampdoria,2007-2008,Italy,4500000
Siena,2007-2008,Italy,3950000
AC Milan,2008-2009,Italy,59250000
Inter,2008-2009,Italy,47700000
Juventus,2008-2009,Italy,32550000
Fiorentina,2008-2009,Italy,34800000
Genoa,2008-2009,Italy,42800000
AS Roma,2008-2009,Italy,27000000
Atalanta,2008-2009,Italy,10500000
Sampdoria,2008-2009,Italy,15700000
SSC Napoli,2008-2009,Italy,26300000
US Palermo,2008-2009,Italy,37350000
Lazio,2008-2009,Italy,7500000
Torino,2008-2009,Italy,7000000
Cagliari Calcio,2008-2009,Italy,16500000
Bologna,2008-2009,Italy,14300000
Udinese Calcio,2008-2009,Italy,4500000
Juventus,2009-2010,Italy,55300000
Inter,2009-2010,Italy,94200000
Lazio,2009-2010,Italy,20200000
SSC Napoli,2009-2010,Italy,44750000
AC Milan,2009-2010,Italy,15000000
Genoa,2009-2010,Italy,61300000
Bari,2009-2010,Italy,10500000
Parma,2009-2010,Italy,13600000
US Palermo,2009-2010,Italy,12000000
Fiorentina,2009-2010,Italy,23000000
Sampdoria,2009-2010,Italy,8500000
Bologna,2009-2010,Italy,8500000
Brescia,2009-2010,Italy,5000000
Atalanta,2009-2010,Italy,4500000
Siena,2009-2010,Italy,8000000
Cagliari Calcio,2009-2010,Italy,4500000
Catania,2009-2010,Italy,4000000
Standard Liège,2009-2010,Italy,4000000
AS Roma,2009-2010,Italy,3500000
Udinese Calcio,2009-2010,Italy,3500000
RC Cesena,2009-2010,Italy,3500000
Inter,2010-2011,Italy,40700000
AC Milan,2010-2011,Italy,30850000
Juventus,2010-2011,Italy,47000000
Lazio,2010-2011,Italy,25000000
Genoa,2010-2011,Italy,55700000
SSC Napoli,2010-2011,Italy,8500000
AS Roma,2010-2011,Italy,8000000
Sampdoria,2010-2011,Italy,12200000
Parma,2010-2011,Italy,20000000
Fiorentina,2010-2011,Italy,18300000
US Palermo,2010-2011,Italy,19500000
Atalanta,2010-2011,Italy,4700000
Bari,2010-2011,Italy,4500000
Brescia,2010-2011,Italy,4200000
Cagliari Calcio,2010-2011,Italy,3800000
Bologna,2010-2011,Italy,3360000
AC Milan,2011-2012,Italy,47000000
SSC Napoli,2011-2012,Italy,61500000
AS Roma,2011-2012,Italy,69430000
Juventus,2011-2012,Italy,95930000
Inter,2011-2012,Italy,32900000
US Palermo,2011-2012,Italy,26300000
Genoa,2011-2012,Italy,25500000
Atalanta,2011-2012,Italy,5300000
Lazio,2011-2012,Italy,15000000
Udinese Calcio,2011-2012,Italy,8500000
RC Cesena,2011-2012,Italy,9000000
Bologna,2011-2012,Italy,4860000
Fiorentina,2011-2012,Italy,4500000
AC Milan,2012-2013,Italy,48000000
Juventus,2012-2013,Italy,69700000
Inter,2012-2013,Italy,67800000
US Palermo,2012-2013,Italy,11900000
Fiorentina,2012-2013,Italy,24700000
SSC Napoli,2012-2013,Italy,15500000
Genoa,2012-2013,Italy,15000000
Torino,2012-2013,Italy,10300000
Chievo Verona,2012-2013,Italy,6500000
AS Roma,2012-2013,Italy,22450000
Udinese Calcio,2012-2013,Italy,9300000
Atalanta,2012-2013,Italy,10050000
Parma,2012-2013,Italy,12100000
Catania,2012-2013,Italy,3800000
Pescara,2012-2013,Italy,7400000
Siena,2012-2013,Italy,3650000
Sampdoria,2012-2013,Italy,3500000
SSC Napoli,2013-2014,Italy,104950000
Fiorentina,2013-2014,Italy,49000000
Inter,2013-2014,Italy,50250000
AS Roma,2013-2014,Italy,60500000
Juventus,2013-2014,Italy,33300000
Sampdoria,2013-2014,Italy,11500000
AC Milan,2013-2014,Italy,31500000
Sassuolo,2013-2014,Italy,29200000
Lazio,2013-2014,Italy,24100000
Genoa,2013-2014,Italy,8880000
Atalanta,2013-2014,Italy,4200000
Udinese Calcio,2013-2014,Italy,8000000
Juventus,2014-2015,Italy,39600000
AS Roma,2014-2015,Italy,55950000
SSC Napoli,2014-2015,Italy,31550000
SC Braga,2014-2015,Italy,14000000
Sampdoria,2014-2015,Italy,12900000
Torino,2014-2015,Italy,12800000
Inter,2014-2015,Italy,8000000
AC Milan,2014-2015,Italy,11250000
Lazio,2014-2015,Italy,11500000
Parma,2014-2015,Italy,5750000
Sassuolo,2014-2015,Italy,10000000
US Palermo,2014-2015,Italy,5500000
Udinese Calcio,2014-2015,Italy,9000000
Juventus,2015-2016,Italy,141000000
Inter,2015-2016,Italy,78000000
AC Milan,2015-2016,Italy,83000000
Lazio,2015-2016,Italy,28500000
Fiorentina,2015-2016,Italy,15000000
Sampdoria,2015-2016,Italy,20000000
SSC Napoli,2015-2016,Italy,26500000
Sassuolo,2015-2016,Italy,17000000
AS Roma,2015-2016,Italy,21500000
Bologna,2015-2016,Italy,8500000
Torino,2015-2016,Italy,14400000
Juventus,2016-2017,Italy,181800000
Inter,2016-2017,Italy,110350000
SSC Napoli,2016-2017,Italy,88500000
AS Roma,2016-2017,Italy,65000000
Sampdoria,2016-2017,Italy,10000000
Torino,2016-2017,Italy,9000000
AC Milan,2016-2017,Italy,16500000
Lazio,2016-2017,Italy,17450000
Bologna,2016-2017,Italy,6500000
AC Milan,2017-2018,Italy,158000000
Juventus,2017-2018,Italy,121200000
Inter,2017-2018,Italy,99000000
SSC Napoli,2017-2018,Italy,53000000
Sampdoria,2017-2018,Italy,24000000
AS Roma,2017-2018,Italy,57900000
Atalanta,2017-2018,Italy,13500000
Fiorentina,2017-2018,Italy,17000000
Cagliari Calcio,2017-2018,Italy,7600000
Juventus,2018-2019,Italy,221900000
Inter,2018-2019,Italy,61000000
SSC Napoli,2018-2019,Italy,47000000
AS Roma,2018-2019,Italy,95950000
AC Milan,2018-2019,Italy,25500000
Udinese Calcio,2018-2019,Italy,28000000
Sampdoria,2018-2019,Italy,31250000
Genoa,2018-2019,Italy,23500000
Lazio,2018-2019,Italy,39000000
Cagliari Calcio,2018-2019,Italy,16500000
Torino,2018-2019,Italy,29800000
Bologna,2018-2019,Italy,25000000
Sassuolo,2018-2019,Italy,29000000
Fiorentina,2018-2019,Italy,17500000
FC Empoli,2018-2019,Italy,9000000
Atalanta,2018-2019,Italy,22000000
PSV Eindhoven,2000-2001,Netherlands,14000000
Feyenoord,2000-2001,Netherlands,4700000
AFC Ajax,2000-2001,Netherlands,5300000
Vitesse,2000-2001,Netherlands,2500000
PSV Eindhoven,2001-2002,Netherlands,8400000
AFC Ajax,2001-2002,Netherlands,15500000
Feyenoord,2001-2002,Netherlands,5500000
PSV Eindhoven,2002-2003,Netherlands,8600000
Vitesse,2002-2003,Netherlands,2000000
AZ Alkmaar,2002-2003,Netherlands,950000
Feyenoord,2003-2004,Netherlands,11500000
AFC Ajax,2003-2004,Netherlands,9500000
AFC Ajax,2004-2005,Netherlands,4900000
PSV Eindhoven,2004-2005,Netherlands,9500000
AFC Ajax,2005-2006,Netherlands,14300000
PSV Eindhoven,2005-2006,Netherlands,5000000
Feyenoord,2005-2006,Netherlands,2500000
Vitesse,2005-2006,Netherlands,2000000
PSV Eindhoven,2006-2007,Netherlands,12000000
AZ Alkmaar,2006-2007,Netherlands,6500000
Feyenoord,2006-2007,Netherlands,2500000
AFC Ajax,2007-2008,Netherlands,7500000
PSV Eindhoven,2007-2008,Netherlands,12900000
AZ Alkmaar,2007-2008,Netherlands,15000000
Feyenoord,2007-2008,Netherlands,5000000
FC Groningen,2007-2008,Netherlands,4000000
AFC Ajax,2008-2009,Netherlands,27250000
Feyenoord,2008-2009,Netherlands,5000000
PSV Eindhoven,2008-2009,Netherlands,4000000
AFC Ajax,2009-2010,Netherlands,12000000
FC Twente,2009-2010,Netherlands,5500000
PSV Eindhoven,2009-2010,Netherlands,4000000
Feyenoord,2009-2010,Netherlands,3500000
FC Twente,2010-2011,Netherlands,10500000
AFC Ajax,2010-2011,Netherlands,5000000
Vitesse,2010-2011,Netherlands,4000000
PSV Eindhoven,2010-2011,Netherlands,7300000
PSV Eindhoven,2011-2012,Netherlands,25000000
FC Twente,2011-2012,Netherlands,5500000
FC Utrecht,2011-2012,Netherlands,4800000
AFC Ajax,2011-2012,Netherlands,4000000
FC Twente,2012-2013,Netherlands,11500000
PSV Eindhoven,2012-2013,Netherlands,4100000
AFC Ajax,2012-2013,Netherlands,4000000
PSV Eindhoven,2013-2014,Netherlands,8000000
AFC Ajax,2014-2015,Netherlands,7000000
PSV Eindhoven,2014-2015,Netherlands,5500000
PSV Eindhoven,2015-2016,Netherlands,7000000
AFC Ajax,2015-2016,Netherlands,6000000
AFC Ajax,2016-2017,Netherlands,23000000
PSV Eindhoven,2017-2018,Netherlands,8000000
AFC Ajax,2017-2018,Netherlands,7500000
AFC Ajax,2018-2019,Netherlands,41650000
PSV Eindhoven,2018-2019,Netherlands,11000000
SL Benfica,2000-2001,Portugal,11500000
SL Benfica,2001-2002,Portugal,14500000
Sporting CP,2001-2002,Portugal,4500000
FC Porto,2002-2003,Portugal,3000000
SL Benfica,2003-2004,Portugal,15000000
Sporting CP,2003-2004,Portugal,3200000
FC Porto,2004-2005,Portugal,42300000
SL Benfica,2004-2005,Portugal,1750000
FC Porto,2005-2006,Portugal,12550000
Sporting CP,2005-2006,Portugal,5500000
SL Benfica,2006-2007,Portugal,3500000
SL Benfica,2007-2008,Portugal,19670000
FC Porto,2007-2008,Portugal,4000000
SL Benfica,2008-2009,Portugal,18500000
FC Porto,2008-2009,Portugal,23500000
Sporting CP,2008-2009,Portugal,4500000
SL Benfica,2009-2010,Portugal,23500000
Sporting CP,2009-2010,Portugal,10140000
FC Porto,2009-2010,Portugal,16930000
FC Porto,2010-2011,Portugal,28350000
SL Benfica,2010-2011,Portugal,18980000
Sporting CP,2010-2011,Portugal,3300000
FC Porto,2011-2012,Portugal,35350000
SL Benfica,2011-2012,Portugal,25000000
Sporting CP,2011-2012,Portugal,17430000
SL Benfica,2012-2013,Portugal,27000000
FC Porto,2012-2013,Portugal,8890000
Sporting CP,2012-2013,Portugal,4000000
SL Benfica,2013-2014,Portugal,49100000
FC Porto,2013-2014,Portugal,28000000
FC Porto,2014-2015,Portugal,36400000
SL Benfica,2014-2015,Portugal,15200000
RSC Anderlecht,2014-2015,Portugal,6000000
SL Benfica,2015-2016,Portugal,22000000
FC Porto,2015-2016,Portugal,10500000
SL Benfica,2016-2017,Portugal,23000000
Sporting CP,2016-2017,Portugal,11850000
FC Porto,2016-2017,Portugal,13000000
FC Porto,2017-2018,Portugal,20000000
Sporting CP,2017-2018,Portugal,17190000
FC Porto,2018-2019,Portugal,8000000
SL Benfica,2018-2019,Portugal,6850000
Sporting CP,2018-2019,Portugal,6500000
Queens Park Rangers,2000-2001,Scotland,3000000
Celtic,2000-2001,Scotland,2250000
Queens Park Rangers,2001-2002,Scotland,9750000
Queens Park Rangers,2002-2003,Scotland,7900000
Celtic,2002-2003,Scotland,1500000
Queens Park Rangers,2004-2005,Scotland,10750000
Celtic,2005-2006,Scotland,7300000
Celtic,2006-2007,Scotland,8400000
Queens Park Rangers,2006-2007,Scotland,3000000
Celtic,2007-2008,Scotland,11100000
Queens Park Rangers,2008-2009,Scotland,12300000
Celtic,2009-2010,Scotland,4400000
Queens Park Rangers,2010-2011,Scotland,4900000
Celtic,2015-2016,Scotland,7500000
Celtic,2018-2019,Scotland,10300000
Real Madrid CF,2000-2001,Spain,90750000
FC Barcelona,2000-2001,Spain,55000000
Valencia CF,2000-2001,Spain,34550000
RC Deportivo de La Coruña,2000-2001,Spain,9600000
Real Madrid CF,2001-2002,Spain,77500000
FC Barcelona,2001-2002,Spain,65900000
RC Deportivo de La Coruña,2001-2002,Spain,35300000
Valencia CF,2001-2002,Spain,10800000
Villarreal CF,2001-2002,Spain,6000000
Real Sociedad,2001-2002,Spain,5000000
Real Betis,2001-2002,Spain,5000000
Real Zaragoza,2001-2002,Spain,2250000
Real Madrid CF,2002-2003,Spain,45000000
Atlético Madrid,2002-2003,Spain,9500000
RCD Espanyol,2002-2003,Spain,6000000
Real Zaragoza,2002-2003,Spain,2700000
Real Madrid CF,2003-2004,Spain,37500000
FC Barcelona,2003-2004,Spain,43850000
Villarreal CF,2003-2004,Spain,9000000
Atlético Madrid,2003-2004,Spain,5000000
RCD Mallorca,2003-2004,Spain,4500000
Sevilla FC,2003-2004,Spain,3500000
Real Zaragoza,2003-2004,Spain,3500000
CA Osasuna,2003-2004,Spain,1800000
FC Barcelona,2004-2005,Spain,69000000
Real Madrid CF,2004-2005,Spain,55300000
Valencia CF,2004-2005,Spain,13000000
Real Betis,2004-2005,Spain,9500000
RC Deportivo de La Coruña,2004-2005,Spain,5000000
Atlético Madrid,2004-2005,Spain,11300000
Real Sociedad,2004-2005,Spain,5500000
Sevilla FC,2004-2005,Spain,5600000
Villarreal CF,2004-2005,Spain,3200000
Real Madrid CF,2005-2006,Spain,85500000
Valencia CF,2005-2006,Spain,20000000
Sevilla FC,2005-2006,Spain,21100000
Atlético Madrid,2005-2006,Spain,24000000
Villarreal CF,2005-2006,Spain,6000000
RCD Espanyol,2005-2006,Spain,13500000
Real Zaragoza,2005-2006,Spain,3500000
Real Betis,2005-2006,Spain,5500000
RCD Mallorca,2005-2006,Spain,3500000
Athletic Club de Bilbao,2005-2006,Spain,3000000
Real Sociedad,2005-2006,Spain,2500000
Real Madrid CF,2006-2007,Spain,103000000
Valencia CF,2006-2007,Spain,47500000
Atlético Madrid,2006-2007,Spain,41700000
FC Barcelona,2006-2007,Spain,26000000
Real Zaragoza,2006-2007,Spain,16000000
Villarreal CF,2006-2007,Spain,22700000
Sevilla FC,2006-2007,Spain,12900000
Real Betis,2006-2007,Spain,11000000
RCD Mallorca,2006-2007,Spain,9000000
Athletic Club de Bilbao,2006-2007,Spain,6000000
RC Deportivo de La Coruña,2006-2007,Spain,4640000
RC Celta de Vigo,2006-2007,Spain,4000000
Real Sociedad,2006-2007,Spain,3500000
Real Madrid CF,2007-2008,Spain,118000000
FC Barcelona,2007-2008,Spain,68000000
Atlético Madrid,2007-2008,Spain,78000000
Valencia CF,2007-2008,Spain,56000000
Sevilla FC,2007-2008,Spain,29000000
Villarreal CF,2007-2008,Spain,35800000
RC Deportivo de La Coruña,2007-2008,Spain,7000000
Real Betis,2007-2008,Spain,16800000
Getafe CF,2007-2008,Spain,10000000
AS Livorno,2007-2008,Spain,6000000
Athletic Club de Bilbao,2007-2008,Spain,5800000
Real Zaragoza,2007-2008,Spain,4500000
FC Barcelona,2008-2009,Spain,96000000
Real Madrid CF,2008-2009,Spain,76000000
Real Zaragoza,2008-2009,Spain,10000000
Atlético Madrid,2008-2009,Spain,20000000
Real Betis,2008-2009,Spain,32000000
Sevilla FC,2008-2009,Spain,35200000
Villarreal CF,2008-2009,Spain,20000000
UD Almería,2008-2009,Spain,10800000
Getafe CF,2008-2009,Spain,10500000
RCD Mallorca,2008-2009,Spain,6000000
RCD Espanyol,2008-2009,Spain,5000000
Valencia CF,2008-2009,Spain,5000000
Real Madrid CF,2009-2010,Spain,256500000
FC Barcelona,2009-2010,Spain,88500000
Villarreal CF,2009-2010,Spain,22500000
Sevilla FC,2009-2010,Spain,24000000
Atlético Madrid,2009-2010,Spain,13500000
Real Zaragoza,2009-2010,Spain,9000000
Valencia CF,2009-2010,Spain,5000000
Getafe CF,2009-2010,Spain,4000000
RCD Espanyol,2009-2010,Spain,4000000
Real Betis,2009-2010,Spain,3400000
FC Barcelona,2010-2011,Spain,72500000
Real Madrid CF,2010-2011,Spain,89000000
Atlético Madrid,2010-2011,Spain,31250000
Valencia CF,2010-2011,Spain,26300000
Sevilla FC,2010-2011,Spain,10500000
Málaga CF,2010-2011,Spain,7100000
Atlético Madrid,2011-2012,Spain,79500000
FC Barcelona,2011-2012,Spain,60000000
Real Madrid CF,2011-2012,Spain,55000000
Málaga CF,2011-2012,Spain,54700000
Villarreal CF,2011-2012,Spain,28000000
Real Zaragoza,2011-2012,Spain,8600000
Valencia CF,2011-2012,Spain,21500000
Athletic Club de Bilbao,2011-2012,Spain,7500000
Sevilla FC,2011-2012,Spain,8000000
Granada CF,2011-2012,Spain,8500000
Real Madrid CF,2012-2013,Spain,30000000
FC Barcelona,2012-2013,Spain,33000000
Real Sociedad,2012-2013,Spain,14000000
Valencia CF,2012-2013,Spain,20700000
Granada CF,2012-2013,Spain,5000000
Sevilla FC,2012-2013,Spain,7500000
Atlético Madrid,2012-2013,Spain,3500000
Real Madrid CF,2013-2014,Spain,175500000
FC Barcelona,2013-2014,Spain,101200000
Sevilla FC,2013-2014,Spain,23500000
Atlético Madrid,2013-2014,Spain,30000000
Athletic Club de Bilbao,2013-2014,Spain,12000000
Valencia CF,2013-2014,Spain,8000000
Villarreal CF,2013-2014,Spain,11000000
Getafe CF,2013-2014,Spain,6000000
FC Barcelona,2014-2015,Spain,162720000
Real Madrid CF,2014-2015,Spain,123000000
Atlético Madrid,2014-2015,Spain,111000000
Valencia CF,2014-2015,Spain,49800000
Real Sociedad,2014-2015,Spain,12000000
Villarreal CF,2014-2015,Spain,16200000
Sevilla FC,2014-2015,Spain,5500000
Atlético Madrid,2015-2016,Spain,136860000
FC Barcelona,2015-2016,Spain,51000000
Real Madrid CF,2015-2016,Spain,68500000
Valencia CF,2015-2016,Spain,141500000
Villarreal CF,2015-2016,Spain,31500000
Real Sociedad,2015-2016,Spain,22200000
Sevilla FC,2015-2016,Spain,31000000
Athletic Club de Bilbao,2015-2016,Spain,8000000
RC Deportivo de La Coruña,2015-2016,Spain,6500000
FC Barcelona,2016-2017,Spain,121500000
Real Madrid CF,2016-2017,Spain,30000000
Atlético Madrid,2016-2017,Spain,53200000
Valencia CF,2016-2017,Spain,32500000
Sevilla FC,2016-2017,Spain,51000000
Villarreal CF,2016-2017,Spain,41750000
Real Betis,2016-2017,Spain,7500000
Real Sociedad,2016-2017,Spain,7000000
RCD Espanyol,2016-2017,Spain,7000000
FC Barcelona,2017-2018,Spain,334370000
Atlético Madrid,2017-2018,Spain,102000000
Athletic Club de Bilbao,2017-2018,Spain,32000000
Real Madrid CF,2017-2018,Spain,40500000
Sevilla FC,2017-2018,Spain,56700000
Valencia CF,2017-2018,Spain,41000000
Villarreal CF,2017-2018,Spain,40000000
RC Celta de Vigo,2017-2018,Spain,13000000
Real Betis,2017-2018,Spain,24500000
Real Sociedad,2017-2018,Spain,15500000
Atlético Madrid,2018-2019,Spain,101000000
FC Barcelona,2018-2019,Spain,107900000
Real Madrid CF,2018-2019,Spain,38500000
Valencia CF,2018-2019,Spain,54000000
Athletic Club de Bilbao,2018-2019,Spain,24000000
Real Betis,2018-2019,Spain,20000000
Villarreal CF,2018-2019,Spain,53900000
Sevilla FC,2018-2019,Spain,48000000
RCD Espanyol,2018-2019,Spain,18000000
RC Celta de Vigo,2018-2019,Spain,14000000
Getafe CF,2018-2019,Spain,5000000
FC Basel,2001-2002,Switzerland,3000000
FC Basel,2002-2003,Switzerland,2000000
FC Basel,2003-2004,Switzerland,1600000
FC Basel,2004-2005,Switzerland,1750000
FC Sochaux-Montbéliard,2009-2010,Switzerland,4000000
FC Basel,2018-2019,Switzerland,4500000
