Team_to,Season,country_name,fees
Chelsea,2010-2011,England,118500000
Liverpool,2010-2011,England,89980000
Manchester City,2010-2011,England,183610000
Aston Villa,2010-2011,England,31200000
Sunderland,2010-2011,England,23000000
Arsenal,2010-2011,England,23000000
Tottenham Hotspur,2010-2011,England,24100000
Stoke City,2010-2011,England,16600000
Manchester United,2010-2011,England,21800000
Wolverhampton Wanderers,2010-2011,England,14050000
Birmingham City,2010-2011,England,22800000
Newcastle United,2010-2011,England,10280000
West Ham United,2010-2011,England,9000000
Wigan Athletic,2010-2011,England,7700000
Blackburn Rovers,2010-2011,England,4000000
Leicester City,2010-2011,England,3600000
Standard Liège,2010-2011,England,3500000
West Bromwich Albion,2010-2011,England,3000000
Manchester City,2011-2012,England,87250000
Chelsea,2011-2012,England,92650000
Liverpool,2011-2012,England,65200000
Manchester United,2011-2012,England,62300000
Arsenal,2011-2012,England,56100000
Newcastle United,2011-2012,England,22650000
Fulham,2011-2012,England,12000000
Stoke City,2011-2012,England,24800000
Aston Villa,2011-2012,England,19050000
Sunderland,2011-2012,England,20100000
Wolverhampton Wanderers,2011-2012,England,11750000
Blackburn Rovers,2011-2012,England,6800000
Everton,2011-2012,England,6600000
Tottenham Hotspur,2011-2012,England,6200000
West Bromwich Albion,2011-2012,England,5100000
Wigan Athletic,2011-2012,England,9000000
Swansea City,2011-2012,England,3900000
Norwich City,2011-2012,England,3850000
Bolton Wanderers,2011-2012,England,3600000
Chelsea,2012-2013,England,103800000
Manchester United,2012-2013,England,76450000
Manchester City,2012-2013,England,61950000
Arsenal,2012-2013,England,56000000
Liverpool,2012-2013,England,64300000
Southampton,2012-2013,England,27850000
Sunderland,2012-2013,England,38300000
Tottenham Hotspur,2012-2013,England,49000000
Blackburn Rovers,2012-2013,England,13900000
West Ham United,2012-2013,England,15500000
Aston Villa,2012-2013,England,16350000
Newcastle United,2012-2013,England,22700000
Swansea City,2012-2013,England,7000000
Stoke City,2012-2013,England,14400000
Wigan Athletic,2012-2013,England,9800000
Everton,2012-2013,England,17900000
Fulham,2012-2013,England,5000000
West Bromwich Albion,2012-2013,England,5000000
Wolverhampton Wanderers,2012-2013,England,7300000
Reading,2012-2013,England,3800000
Arsenal,2013-2014,England,47000000
Manchester United,2013-2014,England,77130000
Manchester City,2013-2014,England,116000000
Chelsea,2013-2014,England,123000000
Tottenham Hotspur,2013-2014,England,121880000
Liverpool,2013-2014,England,55900000
West Ham United,2013-2014,England,23300000
Swansea City,2013-2014,England,21900000
Everton,2013-2014,England,26300000
Fulham,2013-2014,England,25300000
Southampton,2013-2014,England,24500000
Norwich City,2013-2014,England,21800000
Sunderland,2013-2014,England,17500000
Hull City,2013-2014,England,22100000
West Bromwich Albion,2013-2014,England,12900000
Aston Villa,2013-2014,England,11200000
Crystal Palace,2013-2014,England,5300000
Arsenal,2014-2015,England,112730000
Chelsea,2014-2015,England,135200000
Manchester United,2014-2015,England,186000000
Everton,2014-2015,England,40160000
Manchester City,2014-2015,England,85800000
Liverpool,2014-2015,England,149430000
Southampton,2014-2015,England,95540000
West Ham United,2014-2015,England,32250000
Tottenham Hotspur,2014-2015,England,45870000
West Bromwich Albion,2014-2015,England,18980000
Sunderland,2014-2015,England,12600000
Hull City,2014-2015,England,35300000
Swansea City,2014-2015,England,31700000
Leicester City,2014-2015,England,19100000
Newcastle United,2014-2015,England,41020000
Crystal Palace,2014-2015,England,20470000
Watford,2014-2015,England,8000000
Aston Villa,2014-2015,England,10200000
Norwich City,2014-2015,England,9500000
Manchester City,2015-2016,England,203000000
Manchester United,2015-2016,England,156000000
Liverpool,2015-2016,England,120500000
Tottenham Hotspur,2015-2016,England,52000000
Chelsea,2015-2016,England,66000000
Newcastle United,2015-2016,England,106550000
Everton,2015-2016,England,42800000
Stoke City,2015-2016,England,25000000
West Bromwich Albion,2015-2016,England,36600000
Southampton,2015-2016,England,51700000
West Ham United,2015-2016,England,41500000
Arsenal,2015-2016,England,26500000
Crystal Palace,2015-2016,England,23900000
Bournemouth,2015-2016,England,43950000
Burnley,2015-2016,England,12400000
Aston Villa,2015-2016,England,60500000
Middlesbrough,2015-2016,England,25400000
Sunderland,2015-2016,England,50900000
Leicester City,2015-2016,England,40600000
Norwich City,2015-2016,England,31900000
Watford,2015-2016,England,70230000
Swansea City,2015-2016,England,16200000
Manchester United,2016-2017,England,185000000
Manchester City,2016-2017,England,201100000
Arsenal,2016-2017,England,100000000
Liverpool,2016-2017,England,74900000
Chelsea,2016-2017,England,132800000
Tottenham Hotspur,2016-2017,England,71500000
Crystal Palace,2016-2017,England,97900000
Leicester City,2016-2017,England,83100000
Everton,2016-2017,England,83100000
West Ham United,2016-2017,England,70800000
Southampton,2016-2017,England,64200000
Bournemouth,2016-2017,England,31500000
Swansea City,2016-2017,England,18000000
Stoke City,2016-2017,England,29400000
Hull City,2016-2017,England,24400000
West Bromwich Albion,2016-2017,England,33200000
Burnley,2016-2017,England,35500000
Watford,2016-2017,England,52850000
Wolverhampton Wanderers,2016-2017,England,23000000
Aston Villa,2016-2017,England,32700000
Newcastle United,2016-2017,England,37200000
Middlesbrough,2016-2017,England,32750000
Sunderland,2016-2017,England,9500000
Norwich City,2016-2017,England,9400000
Manchester United,2017-2018,England,164400000
Liverpool,2017-2018,England,167800000
Chelsea,2017-2018,England,257800000
Arsenal,2017-2018,England,116750000
Manchester City,2017-2018,England,307200000
Everton,2017-2018,England,197200000
Tottenham Hotspur,2017-2018,England,121500000
Crystal Palace,2017-2018,England,45000000
Leicester City,2017-2018,England,80900000
Swansea City,2017-2018,England,64600000
