Name,Age,Transfert_fee,Market_value,Team_to,overall_rating,potential,finishing,dribbling,vision,agility,stamina,strength
Gareth Bale,24,101000000,65000000,Real Madrid CF,87,91,81,87,79,77,90,79
Neymar,21,88200000,50000000,FC Barcelona,86,91,85,94,72,92,86,45
