Team_to,Season,fees
FC Porto,2010-2011,28350000
CSKA Moscow,2010-2011,20500000
Dnipro,2010-2011,20300000
Tottenham Hotspur,2010-2011,24100000
Valencia CF,2010-2011,26300000
Stoke City,2010-2011,16600000
Genoa,2010-2011,55700000
Fenerbahce,2010-2011,21000000
Manchester United,2010-2011,21800000
Galatasaray,2010-2011,18000000
SSC Napoli,2010-2011,8500000
SL Benfica,2010-2011,18980000
Dynamo Kyiv,2010-2011,14800000
AS Roma,2010-2011,8000000
Al-Nasr,2010-2011,8000000
São Paulo,2010-2011,7600000
Hamburger SV,2010-2011,13000000
SV Werder Bremen,2010-2011,13700000
Besiktas,2010-2011,7300000
Shakhtar D.,2010-2011,13050000
Wolverhampton Wanderers,2010-2011,14050000
Birmingham City,2010-2011,22800000
AS Monaco,2010-2011,7000000
Sampdoria,2010-2011,12200000
TSG 1899 Hoffenheim,2010-2011,20200000
Parma,2010-2011,20000000
FC Twente,2010-2011,10500000
Fiorentina,2010-2011,18300000
Metalist,2010-2011,11300000
Olympiacos,2010-2011,6000000
Corinthians,2010-2011,6000000
Newcastle United,2010-2011,10280000
Atlético-MG,2010-2011,6000000
Kuban Krasnodar,2010-2011,6000000
Sevilla FC,2010-2011,10500000
US Palermo,2010-2011,19500000
Paris Saint-Germain,2010-2011,5000000
AFC Ajax,2010-2011,5000000
Al-Ahli (UAE),2010-2011,5000000
Stade Rennais FC,2010-2011,9000000
Queens Park Rangers,2010-2011,4900000
West Ham United,2010-2011,9000000
Borussia Dortmund,2010-2011,4750000
Atalanta,2010-2011,8500000
Dinamo Moscow,2010-2011,4500000
Bari,2010-2011,4500000
Girondins de Bordeaux,2010-2011,8000000
El-Jaish,2010-2011,4300000
Trabzonspor,2010-2011,4200000
Al Sadd,2010-2011,4200000
Brescia,2010-2011,4200000
Bor. M'gladbach,2010-2011,4000000
Botafogo,2010-2011,4000000
Wigan Athletic,2010-2011,7700000
Blackburn Rovers,2010-2011,4000000
Vitesse,2010-2011,4000000
VfB Stuttgart,2010-2011,3900000
PSV Eindhoven,2010-2011,7300000
Cagliari Calcio,2010-2011,3800000
Málaga CF,2010-2011,7100000
Gaziantepspor,2010-2011,3600000
Leicester City,2010-2011,3600000
Standard Liège,2010-2011,3500000
Al Duhail,2010-2011,3500000
RB Salzburg,2010-2011,3500000
Fluminense,2010-2011,3400000
Bologna,2010-2011,3360000
Sporting CP,2010-2011,3300000
Racing Club,2010-2011,3200000
Ternana,2010-2011,3180000
Flamengo,2010-2011,3000000
West Bromwich Albion,2010-2011,3000000
Paris Saint-Germain,2011-2012,92900000
Manchester City,2011-2012,87250000
Atlético Madrid,2011-2012,79500000
FC Barcelona,2011-2012,60000000
FC Bayern Munich,2011-2012,49000000
Real Madrid CF,2011-2012,55000000
Anzhi,2011-2012,75700000
Chelsea,2011-2012,92650000
Manchester United,2011-2012,62300000
AC Milan,2011-2012,47000000
Málaga CF,2011-2012,54700000
Liverpool,2011-2012,65200000
Dinamo Moscow,2011-2012,19000000
SSC Napoli,2011-2012,61500000
AS Roma,2011-2012,69430000
Juventus,2011-2012,95930000
Zenit S-Pb,2011-2012,15000000
Arsenal,2011-2012,56100000
FC Porto,2011-2012,35350000
Newcastle United,2011-2012,22650000
Fulham,2011-2012,12000000
Stoke City,2011-2012,24800000
Aston Villa,2011-2012,19050000
Inter,2011-2012,32900000
Fenerbahce,2011-2012,19000000
Flamengo,2011-2012,10000000
Spartak Moscow,2011-2012,22700000
Bayer 04 Leverkusen,2011-2012,18500000
VfL Wolfsburg,2011-2012,27300000
SL Benfica,2011-2012,25000000
Villarreal CF,2011-2012,28000000
LOSC Lille,2011-2012,17000000
Loko Moscow,2011-2012,16500000
Dynamo Kyiv,2011-2012,14000000
Sunderland,2011-2012,20100000
Sporting CP,2011-2012,17430000
Real Zaragoza,2011-2012,8600000
US Palermo,2011-2012,26300000
PSV Eindhoven,2011-2012,25000000
Genoa,2011-2012,25500000
Valencia CF,2011-2012,21500000
Wolverhampton Wanderers,2011-2012,11750000
Al Sadd,2011-2012,7500000
Athletic Club de Bilbao,2011-2012,7500000
Hilal,2011-2012,12000000
Shakhtar D.,2011-2012,11500000
Fluminense,2011-2012,7000000
Blackburn Rovers,2011-2012,6800000
Galatasaray,2011-2012,10250000
Stade Rennais FC,2011-2012,14100000
Everton,2011-2012,6600000
Tottenham Hotspur,2011-2012,6200000
Toulouse FC,2011-2012,9800000
Palmeiras,2011-2012,6000000
Dnipro,2011-2012,10880000
AS Monaco,2011-2012,10500000
Shabab,2011-2012,6000000
Grêmio,2011-2012,6000000
Lazio,2011-2012,15000000
QPR,2011-2012,20000000
Borussia Dortmund,2011-2012,11000000
FC Twente,2011-2012,5500000
Atalanta,2011-2012,5300000
Trabzonspor,2011-2012,14000000
West Bromwich Albion,2011-2012,5100000
Olympique de Marseille,2011-2012,8500000
SV Werder Bremen,2011-2012,5000000
CSKA Moscow,2011-2012,5000000
Udinese Calcio,2011-2012,8500000
RC Cesena,2011-2012,9000000
Santos FC,2011-2012,5000000
Bologna,2011-2012,4860000
FC Utrecht,2011-2012,4800000
Wigan Athletic,2011-2012,9000000
Al-Ahli (UAE),2011-2012,4500000
VfB Stuttgart,2011-2012,4500000
Fiorentina,2011-2012,4500000
Sevilla FC,2011-2012,8000000
Granada CF,2011-2012,8500000
Akhmat Grozny,2011-2012,4500000
São Paulo,2011-2012,4000000
Hamburger SV,2011-2012,4000000
Besiktas,2011-2012,4000000
AFC Ajax,2011-2012,4000000
Metalist,2011-2012,4000000
Atlético-PR,2011-2012,4000000
Swansea City,2011-2012,3900000
Norwich City,2011-2012,3850000
FC Schalke 04,2011-2012,3800000
DL Yifang,2011-2012,3790000
Los Angeles,2011-2012,3750000
Bolton Wanderers,2011-2012,3600000
Paris Saint-Germain,2012-2013,149950000
Zenit S-Pb,2012-2013,86500000
FC Bayern Munich,2012-2013,69500000
Chelsea,2012-2013,103800000
Anzhi,2012-2013,67400000
Manchester United,2012-2013,76450000
Real Madrid CF,2012-2013,30000000
Manchester City,2012-2013,61950000
AC Milan,2012-2013,48000000
FC Barcelona,2012-2013,33000000
Arsenal,2012-2013,56000000
Liverpool,2012-2013,64300000
Juventus,2012-2013,69700000
Borussia Dortmund,2012-2013,22600000
Shakhtar D.,2012-2013,19240000
Southampton,2012-2013,27850000
Sunderland,2012-2013,38300000
Corinthians,2012-2013,26700000
QPR,2012-2013,47250000
Inter,2012-2013,67800000
Real Sociedad,2012-2013,14000000
Hamburger SV,2012-2013,24500000
AS Monaco,2012-2013,21000000
Tottenham Hotspur,2012-2013,49000000
Rubin Kazan,2012-2013,26000000
Bor. M'gladbach,2012-2013,28500000
SL Benfica,2012-2013,27000000
US Palermo,2012-2013,11900000
CSKA Moscow,2012-2013,22500000
Blackburn Rovers,2012-2013,13900000
Fenerbahce,2012-2013,21500000
Al Rayyan,2012-2013,10000000
Fiorentina,2012-2013,24700000
LOSC Lille,2012-2013,10000000
West Ham United,2012-2013,15500000
Dynamo Kyiv,2012-2013,36500000
FC Porto,2012-2013,8890000
Aston Villa,2012-2013,16350000
Galatasaray,2012-2013,19600000
GZ Evergrande,2012-2013,14200000
Newcastle United,2012-2013,22700000
SSC Napoli,2012-2013,15500000
VfL Wolfsburg,2012-2013,19800000
Spartak Moscow,2012-2013,12500000
Everton,2012-2013,17900000
Al-Ain FC,2012-2013,11200000
Valencia CF,2012-2013,20700000
Genoa,2012-2013,15000000
Swansea City,2012-2013,7000000
Bayer 04 Leverkusen,2012-2013,16700000
Loko Moscow,2012-2013,12000000
Torino,2012-2013,10300000
Chievo Verona,2012-2013,6500000
Stoke City,2012-2013,14400000
Wigan Athletic,2012-2013,9800000
FC Twente,2012-2013,11500000
Al Gharafa,2012-2013,6000000
TSG 1899 Hoffenheim,2012-2013,15500000
Atlético-MG,2012-2013,5800000
AS Roma,2012-2013,22450000
SV Werder Bremen,2012-2013,9000000
Udinese Calcio,2012-2013,9300000
Atalanta,2012-2013,10050000
Fulham,2012-2013,5000000
Ahli,2012-2013,5000000
Cruzeiro,2012-2013,5000000
Granada CF,2012-2013,5000000
FC Lorient,2012-2013,9000000
West Bromwich Albion,2012-2013,5000000
Montpellier Hérault SC,2012-2013,8500000
Parma,2012-2013,12100000
SH Shenhua,2012-2013,4500000
Al-Jazira,2012-2013,4500000
PSV Eindhoven,2012-2013,4100000
Al Duhail,2012-2013,4000000
AFC Ajax,2012-2013,4000000
FC Schalke 04,2012-2013,4000000
AS Saint-Étienne,2012-2013,4000000
Metalist,2012-2013,4000000
Sevilla FC,2012-2013,7500000
Kuban Krasnodar,2012-2013,4000000
Sporting CP,2012-2013,4000000
RB Salzburg,2012-2013,4000000
Wolverhampton Wanderers,2012-2013,7300000
Reading,2012-2013,3800000
Catania,2012-2013,3800000
Pescara,2012-2013,7400000
Siena,2012-2013,3650000
Atlético Madrid,2012-2013,3500000
BJ Renhe,2012-2013,3500000
Sampdoria,2012-2013,3500000
Real Madrid CF,2013-2014,175500000
FC Barcelona,2013-2014,101200000
Paris Saint-Germain,2013-2014,135900000
Arsenal,2013-2014,47000000
AS Monaco,2013-2014,157000000
Manchester United,2013-2014,77130000
Manchester City,2013-2014,116000000
SSC Napoli,2013-2014,104950000
FC Bayern Munich,2013-2014,62000000
Chelsea,2013-2014,123000000
Tottenham Hotspur,2013-2014,121880000
Borussia Dortmund,2013-2014,50400000
Shakhtar D.,2013-2014,58000000
VfL Wolfsburg,2013-2014,48500000
Fiorentina,2013-2014,49000000
Liverpool,2013-2014,55900000
Inter,2013-2014,50250000
Zenit S-Pb,2013-2014,25000000
AS Roma,2013-2014,60500000
West Ham United,2013-2014,23300000
Swansea City,2013-2014,21900000
Everton,2013-2014,26300000
Fulham,2013-2014,25300000
Juventus,2013-2014,33300000
Southampton,2013-2014,24500000
SL Benfica,2013-2014,49100000
Santos FC,2013-2014,13000000
Fenerbahce,2013-2014,30250000
Cardiff,2013-2014,22150000
Galatasaray,2013-2014,25450000
Loko Moscow,2013-2014,12000000
SD Luneng,2013-2014,12000000
Olympique de Marseille,2013-2014,24700000
Anzhi,2013-2014,11600000
Sampdoria,2013-2014,11500000
AC Milan,2013-2014,31500000
Dinamo Moscow,2013-2014,21000000
Dynamo Kyiv,2013-2014,45500000
FC Porto,2013-2014,28000000
FC Schalke 04,2013-2014,18000000
Bayer 04 Leverkusen,2013-2014,15000000
Norwich City,2013-2014,21800000
Sevilla FC,2013-2014,23500000
Atlético Madrid,2013-2014,30000000
Sunderland,2013-2014,17500000
Sassuolo,2013-2014,29200000
CSKA Moscow,2013-2014,9500000
Al-Jazira,2013-2014,15500000
Hull City,2013-2014,22100000
Lazio,2013-2014,24100000
Athletic Club de Bilbao,2013-2014,12000000
PSV Eindhoven,2013-2014,8000000
Spartak Moscow,2013-2014,18500000
El-Jaish,2013-2014,8000000
Valencia CF,2013-2014,8000000
GZ Evergrande,2013-2014,7500000
Toronto FC,2013-2014,14700000
Al Gharafa,2013-2014,7200000
West Bromwich Albion,2013-2014,12900000
Sounders FC	,2013-2014,6800000
Aston Villa,2013-2014,11200000
Villarreal CF,2013-2014,11000000
Hilal,2013-2014,6000000
Rubin Kazan,2013-2014,11000000
Getafe CF,2013-2014,6000000
QPR,2013-2014,10450000
Al Duhail,2013-2014,5300000
Crystal Palace,2013-2014,5300000
Bor. M'gladbach,2013-2014,5000000
Kuban Krasnodar,2013-2014,5000000
Krasnodar,2013-2014,9250000
AS Saint-Étienne,2013-2014,14500000
1. FSV Mainz 05,2013-2014,5000000
Stade Rennais FC,2013-2014,5000000
RSC Anderlecht,2013-2014,5000000
Genoa,2013-2014,8880000
Monterrey,2013-2014,4830000
River Plate,2013-2014,4800000
KRC Genk,2013-2014,4500000
Man City U18,2013-2014,4500000
Atalanta,2013-2014,4200000
SC Freiburg,2013-2014,4000000
Al-Ain FC,2013-2014,4000000
Udinese Calcio,2013-2014,8000000
FC Barcelona,2014-2015,162720000
Real Madrid CF,2014-2015,123000000
Manchester United,2014-2015,186000000
Paris Saint-Germain,2014-2015,49500000
Arsenal,2014-2015,112730000
Chelsea,2014-2015,135200000
Everton,2014-2015,40160000
Manchester City,2014-2015,85800000
VfL Wolfsburg,2014-2015,32000000
Liverpool,2014-2015,149430000
Atlético Madrid,2014-2015,111000000
FC Bayern Munich,2014-2015,47000000
Valencia CF,2014-2015,49800000
Southampton,2014-2015,95540000
Juventus,2014-2015,39600000
Borussia Dortmund,2014-2015,65200000
Zenit S-Pb,2014-2015,22800000
AS Monaco,2014-2015,36750000
AS Roma,2014-2015,55950000
West Ham United,2014-2015,32250000
Bayer 04 Leverkusen,2014-2015,34800000
Tottenham Hotspur,2014-2015,45870000
West Bromwich Albion,2014-2015,18980000
Sunderland,2014-2015,12600000
SSC Napoli,2014-2015,31550000
Hull City,2014-2015,35300000
Spartak Moscow,2014-2015,11500000
FC Porto,2014-2015,36400000
GZ Evergrande,2014-2015,16600000
QPR,2014-2015,35820000
Swansea City,2014-2015,31700000
Leicester City,2014-2015,19100000
Newcastle United,2014-2015,41020000
SL Benfica,2014-2015,15200000
Al-Ahli (UAE),2014-2015,15800000
SC Braga,2014-2015,14000000
Bor. M'gladbach,2014-2015,9000000
Crystal Palace,2014-2015,20470000
Hamburger SV,2014-2015,19000000
Sampdoria,2014-2015,12900000
Torino,2014-2015,12800000
Inter,2014-2015,8000000
Real Sociedad,2014-2015,12000000
Al Arabi,2014-2015,34600000
Shakhtar D.,2014-2015,8000000
Internacional,2014-2015,8000000
Watford,2014-2015,8000000
Al-Jazira,2014-2015,18800000
El-Jaish,2014-2015,12500000
Dinamo Moscow,2014-2015,18500000
AC Milan,2014-2015,11250000
Lazio,2014-2015,11500000
AFC Ajax,2014-2015,7000000
Nottm Forest,2014-2015,6900000
América,2014-2015,6600000
Rubin Kazan,2014-2015,6500000
Cardiff,2014-2015,6300000
Besiktas,2014-2015,10500000
Grêmio,2014-2015,6000000
Olympique de Marseille,2014-2015,20500000
TSG 1899 Hoffenheim,2014-2015,11500000
Olympiacos,2014-2015,11000000
RSC Anderlecht,2014-2015,6000000
SC Freiburg,2014-2015,6000000
Monterrey,2014-2015,6000000
Aston Villa,2014-2015,10200000
VfB Stuttgart,2014-2015,6000000
Parma,2014-2015,5750000
Villarreal CF,2014-2015,16200000
Sassuolo,2014-2015,10000000
PSV Eindhoven,2014-2015,5500000
Sevilla FC,2014-2015,5500000
Loko Moscow,2014-2015,5500000
US Palermo,2014-2015,5500000
Trabzonspor,2014-2015,5000000
RB Leipzig,2014-2015,5000000
Al Duhail,2014-2015,5000000
FC Barcelona B,2014-2015,5000000
Norwich City,2014-2015,9500000
JS Suning,2014-2015,5000000
Hannover 96,2014-2015,9300000
CF Pachuca,2014-2015,4950000
Boca Juniors,2014-2015,4920000
Udinese Calcio,2014-2015,9000000
SV Werder Bremen,2014-2015,4500000
São Paulo,2014-2015,4500000
Santos Laguna,2014-2015,4150000
Bröndby IF,2014-2015,4000000
Hertha BSC Berlin,2014-2015,4000000
Krasnodar,2014-2015,4000000
Manchester City,2015-2016,203000000
Paris Saint-Germain,2015-2016,116100000
Manchester United,2015-2016,156000000
JS Suning,2015-2016,78000000
Liverpool,2015-2016,120500000
VfL Wolfsburg,2015-2016,55000000
GZ Evergrande,2015-2016,56000000
Juventus,2015-2016,141000000
FC Bayern Munich,2015-2016,76000000
Atlético Madrid,2015-2016,136860000
Inter,2015-2016,78000000
FC Barcelona,2015-2016,51000000
Real Madrid CF,2015-2016,68500000
AC Milan,2015-2016,83000000
Valencia CF,2015-2016,141500000
Tottenham Hotspur,2015-2016,52000000
Chelsea,2015-2016,66000000
SL Benfica,2015-2016,22000000
Newcastle United,2015-2016,106550000
SIPG,2015-2016,27500000
HB CFFC,2015-2016,29500000
Lazio,2015-2016,28500000
Everton,2015-2016,42800000
Stoke City,2015-2016,25000000
West Bromwich Albion,2015-2016,36600000
Al-Ahli (UAE),2015-2016,23000000
Villarreal CF,2015-2016,31500000
Southampton,2015-2016,51700000
Real Sociedad,2015-2016,22200000
West Ham United,2015-2016,41500000
Fiorentina,2015-2016,15000000
AS Monaco,2015-2016,76060000
Arsenal,2015-2016,26500000
Crystal Palace,2015-2016,23900000
Bournemouth,2015-2016,43950000
Olympique Lyonnais,2015-2016,34500000
SH Shenhua,2015-2016,26000000
Bayer 04 Leverkusen,2015-2016,46000000
Burnley,2015-2016,12400000
Sampdoria,2015-2016,20000000
Aston Villa,2015-2016,60500000
Middlesbrough,2015-2016,25400000
Sunderland,2015-2016,50900000
SSC Napoli,2015-2016,26500000
Borussia Dortmund,2015-2016,11000000
Sevilla FC,2015-2016,31000000
Leicester City,2015-2016,40600000
Maldonado,2015-2016,11000000
Norwich City,2015-2016,31900000
Al-Jazira,2015-2016,18000000
Watford,2015-2016,70230000
FC Schalke 04,2015-2016,26000000
FC Porto,2015-2016,10500000
Sassuolo,2015-2016,17000000
Bor. M'gladbach,2015-2016,26000000
Swansea City,2015-2016,16200000
Dynamo Kyiv,2015-2016,9400000
Tigres UANL,2015-2016,8850000
AS Roma,2015-2016,21500000
Bologna,2015-2016,8500000
SD Luneng,2015-2016,8500000
Torino,2015-2016,14400000
Derby,2015-2016,14800000
Athletic Club de Bilbao,2015-2016,8000000
BJ Sinobo Guoan,2015-2016,8000000
RB Leipzig,2015-2016,8000000
Fenerbahce,2015-2016,27150000
Olympique de Marseille,2015-2016,7500000
AS Saint-Étienne,2015-2016,7500000
Celtic,2015-2016,7500000
Chivas,2015-2016,7300000
PSV Eindhoven,2015-2016,7000000
Benfica B,2015-2016,6600000
Boca Juniors,2015-2016,6500000
Hamburger SV,2015-2016,6500000
Spartak Moscow,2015-2016,12500000
RC Deportivo de La Coruña,2015-2016,6500000
Los Angeles,2015-2016,6350000
TSG 1899 Hoffenheim,2015-2016,6000000
AFC Ajax,2015-2016,6000000
Manchester United,2016-2017,185000000
Juventus,2016-2017,181800000
SIPG,2016-2017,122800000
Manchester City,2016-2017,201100000
Arsenal,2016-2017,100000000
Liverpool,2016-2017,74900000
Inter,2016-2017,110350000
Paris Saint-Germain,2016-2017,132500000
Chelsea,2016-2017,132800000
FC Barcelona,2016-2017,121500000
FC Bayern Munich,2016-2017,70000000
Tottenham Hotspur,2016-2017,71500000
SSC Napoli,2016-2017,88500000
Crystal Palace,2016-2017,97900000
Leicester City,2016-2017,83100000
Real Madrid CF,2016-2017,30000000
Atlético Madrid,2016-2017,53200000
Borussia Dortmund,2016-2017,117350000
Olympique de Marseille,2016-2017,46300000
Everton,2016-2017,83100000
West Ham United,2016-2017,70800000
Valencia CF,2016-2017,32500000
RB Leipzig,2016-2017,53200000
CC Yatai,2016-2017,23300000
FC Schalke 04,2016-2017,30500000
HB CFFC,2016-2017,28440000
TJ Quanjian,2016-2017,38000000
Bayer 04 Leverkusen,2016-2017,51500000
Southampton,2016-2017,64200000
Sevilla FC,2016-2017,51000000
Bournemouth,2016-2017,31500000
Swansea City,2016-2017,18000000
Olympique Lyonnais,2016-2017,16000000
SL Benfica,2016-2017,23000000
Stoke City,2016-2017,29400000
Hull City,2016-2017,24400000
SD Luneng,2016-2017,15250000
West Bromwich Albion,2016-2017,33200000
Burnley,2016-2017,35500000
AS Roma,2016-2017,65000000
Bor. M'gladbach,2016-2017,35000000
BJ Sinobo Guoan,2016-2017,15000000
AS Monaco,2016-2017,39000000
Watford,2016-2017,52850000
Wolverhampton Wanderers,2016-2017,23000000
Chivas,2016-2017,14750000
Hamburger SV,2016-2017,29700000
Villarreal CF,2016-2017,41750000
VfL Wolfsburg,2016-2017,59000000
Aston Villa,2016-2017,32700000
Spartak Moscow,2016-2017,12500000
São Paulo,2016-2017,12000000
TJ Teda,2016-2017,19250000
Newcastle United,2016-2017,37200000
AFC Ajax,2016-2017,23000000
Sporting CP,2016-2017,11850000
Liaoning FC,2016-2017,11500000
TSG 1899 Hoffenheim,2016-2017,11000000
SH Shenhua,2016-2017,18900000
Middlesbrough,2016-2017,32750000
Sampdoria,2016-2017,10000000
Rubin Kazan,2016-2017,27000000
Sunderland,2016-2017,9500000
Lazio,2016-2017,17450000
Derby,2016-2017,9400000
Norwich City,2016-2017,9400000
Internacional,2016-2017,9090000
Torino,2016-2017,9000000
AC Milan,2016-2017,16500000
JS Suning,2016-2017,8900000
HN Jianye,2016-2017,8500000
RSC Anderlecht,2016-2017,8200000
Tigres UANL,2016-2017,8000000
Zenit S-Pb,2016-2017,15000000
SV Werder Bremen,2016-2017,7500000
Real Betis,2016-2017,7500000
Atlanta United,2016-2017,7500000
GZ R&F,2016-2017,7230000
Real Sociedad,2016-2017,7000000
LOSC Lille,2016-2017,7000000
FC Augsburg,2016-2017,7000000
RCD Espanyol,2016-2017,7000000
Maldonado,2016-2017,6750000
América,2016-2017,6600000
FC Porto,2016-2017,13000000
1. FSV Mainz 05,2016-2017,6500000
Bologna,2016-2017,6500000
Paris Saint-Germain,2017-2018,238000000
FC Barcelona,2017-2018,334370000
Manchester United,2017-2018,164400000
Liverpool,2017-2018,167800000
Atlético Madrid,2017-2018,102000000
Chelsea,2017-2018,257800000
Manchester City,2017-2018,307200000
Arsenal,2017-2018,116750000
Everton,2017-2018,197200000
AC Milan,2017-2018,158000000
FC Bayern Munich,2017-2018,103500000
Juventus,2017-2018,121200000
BJ Sinobo Guoan,2017-2018,51000000
Tottenham Hotspur,2017-2018,121500000
Athletic Club de Bilbao,2017-2018,32000000
DL Yifang,2017-2018,30000000
AS Monaco,2017-2018,120000000
Crystal Palace,2017-2018,45000000
Leicester City,2017-2018,80900000
Inter,2017-2018,99000000
Borussia Dortmund,2017-2018,98340000
Real Madrid CF,2017-2018,40500000
Bayer 04 Leverkusen,2017-2018,54000000
Zenit S-Pb,2017-2018,39000000
Swansea City,2017-2018,64600000
Bournemouth,2017-2018,34300000
West Ham United,2017-2018,32500000
Southampton,2017-2018,55400000
Sevilla FC,2017-2018,56700000
Watford,2017-2018,51200000
RB Leipzig,2017-2018,56000000
FC Porto,2017-2018,20000000
SSC Napoli,2017-2018,53000000
Stoke City,2017-2018,43100000
FC Schalke 04,2017-2018,39500000
Wolverhampton Wanderers,2017-2018,17900000
Middlesbrough,2017-2018,35700000
Bor. M'gladbach,2017-2018,29000000
VfL Wolfsburg,2017-2018,45000000
Brighton,2017-2018,45000000
1. FC Köln,2017-2018,24000000
Stade Rennais FC,2017-2018,35000000
Burnley,2017-2018,25500000
Valencia CF,2017-2018,41000000
West Bromwich Albion,2017-2018,43600000
Olympique de Marseille,2017-2018,44000000
Sampdoria,2017-2018,24000000
Villarreal CF,2017-2018,40000000
AS Roma,2017-2018,57900000
LOSC Lille,2017-2018,52500000
Atalanta,2017-2018,13500000
Huddersfield,2017-2018,43550000
RC Celta de Vigo,2017-2018,13000000
Atlanta United,2017-2018,12280000
CQ Dangdai Lif.,2017-2018,12000000
Sheff Wed,2017-2018,11700000
River Plate,2017-2018,11500000
Newcastle United,2017-2018,28800000
Olympique Lyonnais,2017-2018,28000000
Nagoya Grampus,2017-2018,11000000
Real Betis,2017-2018,24500000
Fiorentina,2017-2018,17000000
AS Saint-Étienne,2017-2018,10000000
OGC Nice,2017-2018,10000000
Sporting CP,2017-2018,17190000
Fulham,2017-2018,9130000
Hannover 96,2017-2018,9000000
Galatasaray,2017-2018,23750000
Real Sociedad,2017-2018,15500000
Spartak Moscow,2017-2018,8000000
PSV Eindhoven,2017-2018,8000000
Hertha BSC Berlin,2017-2018,8000000
Girondins de Bordeaux,2017-2018,15500000
TSG 1899 Hoffenheim,2017-2018,8000000
Krasnodar,2017-2018,8000000
Reading,2017-2018,8000000
Cagliari Calcio,2017-2018,7600000
AFC Ajax,2017-2018,7500000
Monterrey,2017-2018,7130000
Olympiacos,2017-2018,7100000
Fenerbahce,2017-2018,7000000
Eintracht Frankfurt,2017-2018,7000000
Paris Saint-Germain,2018-2019,135000000
Juventus,2018-2019,221900000
Atlético Madrid,2018-2019,101000000
Manchester City,2018-2019,67800000
Liverpool,2018-2019,182200000
Manchester United,2018-2019,81000000
Chelsea,2018-2019,57000000
FC Barcelona,2018-2019,107900000
Everton,2018-2019,59400000
Inter,2018-2019,61000000
West Ham United,2018-2019,91000000
Fulham,2018-2019,56200000
Real Madrid CF,2018-2019,38500000
TJ Quanjian,2018-2019,29000000
Borussia Dortmund,2018-2019,53000000
Valencia CF,2018-2019,54000000
SSC Napoli,2018-2019,47000000
Arsenal,2018-2019,49000000
Southampton,2018-2019,62250000
Leicester City,2018-2019,61000000
AS Roma,2018-2019,95950000
Athletic Club de Bilbao,2018-2019,24000000
Bor. M'gladbach,2018-2019,23000000
Real Betis,2018-2019,20000000
Villarreal CF,2018-2019,53900000
AC Milan,2018-2019,25500000
Udinese Calcio,2018-2019,28000000
Huddersfield,2018-2019,41500000
AS Monaco,2018-2019,60000000
Brighton,2018-2019,51900000
Olympique de Marseille,2018-2019,29000000
Bayer 04 Leverkusen,2018-2019,30500000
Sampdoria,2018-2019,31250000
AFC Ajax,2018-2019,41650000
RB Leipzig,2018-2019,31000000
Sevilla FC,2018-2019,48000000
Lazio,2018-2019,39000000
Nottm Forest,2018-2019,21800000
Monterrey,2018-2019,19650000
Wolverhampton Wanderers,2018-2019,43000000
VfL Wolfsburg,2018-2019,31500000
SV Werder Bremen,2018-2019,18000000
Stoke City,2018-2019,37500000
Watford,2018-2019,18000000
Bournemouth,2018-2019,23300000
Cardiff,2018-2019,22750000
FC Schalke 04,2018-2019,28000000
Genoa,2018-2019,23500000
Celtic,2018-2019,10300000
Ahli,2018-2019,10240000
Cagliari Calcio,2018-2019,16500000
Flamengo,2018-2019,10000000
Torino,2018-2019,29800000
OGC Nice,2018-2019,15000000
Bologna,2018-2019,25000000
Sassuolo,2018-2019,29000000
RCD Espanyol,2018-2019,18000000
FC Bayern Munich,2018-2019,10000000
VfB Stuttgart,2018-2019,20000000
Fiorentina,2018-2019,17500000
FC Empoli,2018-2019,9000000
Tigres UANL,2018-2019,8700000
Nasr,2018-2019,13500000
América,2018-2019,8500000
FC Porto,2018-2019,8000000
Spartak Moscow,2018-2019,8000000
Middlesbrough,2018-2019,13700000
1. FSV Mainz 05,2018-2019,14000000
RC Celta de Vigo,2018-2019,14000000
Leeds,2018-2019,7900000
West Bromwich Albion,2018-2019,11850000
AS Saint-Étienne,2018-2019,7000000
Atalanta,2018-2019,22000000
SL Benfica,2018-2019,6850000
Shakhtar D.,2018-2019,12100000
Hertha BSC Berlin,2018-2019,6500000
Sporting CP,2018-2019,6500000
TSG 1899 Hoffenheim,2018-2019,17000000
Krasnodar,2018-2019,6000000
Hannover 96,2018-2019,6000000
RC Deportivo de La Coruña,2018-2019,6000000
JS Suning,2018-2019,5700000
Los Angeles FC,2018-2019,5700000
PSV Eindhoven,2018-2019,11000000
Pyramids FC,2018-2019,5200000
Loko Moscow,2018-2019,5000000
Getafe CF,2018-2019,5000000
Dynamo Kyiv,2018-2019,5000000
Urawa Reds,2018-2019,5000000
Girona FC,2018-2019,10000000
SC Freiburg,2018-2019,5000000
Benevento,2018-2019,5000000
Eintracht Frankfurt,2018-2019,5000000
SPAL,2018-2019,4800000
FC Basel,2018-2019,4500000
