Team_to,Season,fees
Olympique Lyonnais,2003-2004,21300000
Tottenham Hotspur,2003-2004,26750000
Blackburn Rovers,2003-2004,16350000
Villarreal CF,2003-2004,9000000
Lazio,2003-2004,14830000
AC Milan,2003-2004,10250000
Birmingham City,2003-2004,10500000
Juventus,2003-2004,15000000
Feyenoord,2003-2004,11500000
US Palermo,2003-2004,11850000
Everton,2003-2004,9000000
Olympique de Marseille,2003-2004,14750000
AFC Ajax,2003-2004,9500000
Dynamo Kyiv,2003-2004,5500000
Liverpool,2003-2004,5250000
Girondins de Bordeaux,2003-2004,9500000
CSKA Moscow,2003-2004,5000000
Atlético Madrid,2003-2004,5000000
Shakhtar D.,2003-2004,6000000
Southampton,2003-2004,4850000
Chievo Verona,2003-2004,4500000
RCD Mallorca,2003-2004,4500000
AJ Auxerre,2003-2004,4000000
Sevilla FC,2003-2004,3500000
Real Zaragoza,2003-2004,3500000
Fulham,2003-2004,4500000
Spartak Moscow,2003-2004,3500000
Aston Villa,2003-2004,6380000
Paris Saint-Germain,2003-2004,7900000
Sporting CP,2003-2004,3200000
AS Monaco,2003-2004,3200000
VfB Stuttgart,2003-2004,5500000
VfL Wolfsburg,2003-2004,2850000
Manchester City,2003-2004,2800000
Trabzonspor,2003-2004,2500000
Wolverhampton Wanderers,2003-2004,4250000
Portsmouth,2003-2004,2230000
Wigan Athletic,2003-2004,2100000
Sampdoria,2003-2004,2000000
Middlesbrough,2003-2004,2000000
Galatasaray,2003-2004,2000000
Metalurh D.,2003-2004,2000000
CA Osasuna,2003-2004,1800000
Colón,2003-2004,1800000
FC Schalke 04,2003-2004,1800000
Parma,2003-2004,1800000
FC Copenhagen,2003-2004,1650000
KS Samara,2003-2004,1600000
FC Basel,2003-2004,1600000
Boca Juniors,2003-2004,1500000
Bor. M'gladbach,2003-2004,1500000
Stade Rennais FC,2003-2004,1500000
CD Cruz Azul,2003-2004,1500000
Man Utd U18,2003-2004,1500000
Rubin Kazan,2003-2004,1500000
KRC Genk,2003-2004,1500000
Nottm Forest,2003-2004,1400000
FCS Bucharest,2003-2004,1300000
Pohang Steelers, South",0
West Bromwich Albion,2003-2004,1250000
Club Brugge,2003-2004,1200000
1860 Munich,2003-2004,1200000
Chelsea,2004-2005,165500000
Manchester United,2004-2005,61250000
Juventus,2004-2005,67900000
FC Barcelona,2004-2005,69000000
Real Madrid CF,2004-2005,55300000
Liverpool,2004-2005,54000000
AS Roma,2004-2005,36200000
Corinthians,2004-2005,17300000
Fiorentina,2004-2005,47000000
FC Bayern Munich,2004-2005,23250000
Newcastle United,2004-2005,28450000
Valencia CF,2004-2005,13000000
Fenerbahce,2004-2005,14700000
Paris Saint-Germain,2004-2005,25000000
Olympique de Marseille,2004-2005,24000000
AS Monaco,2004-2005,13000000
Birmingham City,2004-2005,11570000
Everton,2004-2005,11200000
