Name,Team_to,country_name,fees
Gabriel Silva,Granada CF,Spain,8000000
Gabriel Silva,Granada CF,,8000000
Gervinho,AS Roma,Italy,8000000
Havard Nordtveit,TSG 1899 Hoffenheim,Germany,8000000
Havard Nordtveit,TSG 1899 Hoffenheim,,8000000
Ivan Cavaleiro,Wolverhampton Wanderers,England,8000000
Jeison Murillo,Inter,Italy,8000000
Jeison Murillo,Inter,,8000000
Jonathan de Guzmán,Villarreal CF,Spain,8000000
Joselu,Stoke City,England,8000000
Kenedy,Chelsea,England,8000000
Kenedy,Chelsea,,8000000
Luis Alberto,Liverpool,Spain,8000000
Luis Alberto,Liverpool,,8000000
Marko Marin,Chelsea,England,8000000
Nolan Roux,LOSC Lille,France,8000000
Nolan Roux,LOSC Lille,,8000000
Odion Ighalo,Watford,England,8000000
Odion Ighalo,Watford,,8000000
Rafinha,Genoa,Italy,8000000
Rémy Cabella,Olympique de Marseille,France,8000000
Rio Mavuba,Villarreal CF,Spain,8000000
Samu Castillejo,Villarreal CF,Spain,8000000
Samu Castillejo,Villarreal CF,,8000000
Sebastián Coates,Liverpool,England,8000000
Sebastián Coates,Liverpool,,8000000
Serge Gnabry,FC Bayern Munich,Germany,8000000
Serge Gnabry,FC Bayern Munich,,8000000
Sergi Darder,RCD Espanyol,Spain,8000000
Shkodran Mustafi,Valencia CF,Spain,8000000
Sílvio,Atlético Madrid,Spain,8000000
Sílvio,Atlético Madrid,,8000000
Sone Aluko,Reading,England,8000000
Sone Aluko,Reading,,8000000
Soualiho Meïté,AS Monaco,France,8000000
Stéphane Sessègnon,Paris Saint-Germain,France,8000000
Steven Nzonzi,Sevilla FC,Spain,8000000
Tiemoué Bakayoko,AS Monaco,France,8000000
Víctor Ruiz,Valencia CF,Spain,8000000
Willy Caballero,Manchester City,Spain,8000000
Willy Caballero,Manchester City,,8000000
Mauricio Pinilla,US Palermo,Italy,7900000
Mauricio Pinilla,US Palermo,,7900000
Alexander Sörloth,Crystal Palace,England,7800000
Alexander Sörloth,Crystal Palace,,7800000
Scott Sinclair,Manchester City,England,7800000
Scott Sinclair,Manchester City,,7800000
Zlatan Ibrahimovic,AFC Ajax,Netherlands,7800000
Gaël Clichy,Manchester City,England,7750000
Gaël Clichy,Manchester City,,7750000
Kalidou Koulibaly,SSC Napoli,Italy,7750000
Kalidou Koulibaly,SSC Napoli,,7750000
Bruno Martins Indi,Stoke City,England,7700000
Bruno Martins Indi,FC Porto,Portugal,7700000
Kevin Mirallas,Everton,Switzerland,7650000
Kevin Mirallas,Everton,,7650000
Ángel Correa,Atlético Madrid,Spain,7500000
Ángel Correa,Atlético Madrid,,7500000
Antonio Sanabria,Real Betis,Spain,7500000
Cédric Bakambu,Villarreal CF,Spain,7500000
Cédric Bakambu,Villarreal CF,,7500000
Cheikhou Kouyaté,West Ham United,England,7500000
Cheikhou Kouyaté,West Ham United,,7500000
Christian Atsu,Newcastle United,England,7500000
Christian Atsu,Newcastle United,,7500000
Ederson,OGC Nice,Italy,7500000
Emanuele Giaccherini,Sunderland,England,7500000
Felipe Anderson,Lazio,Italy,7500000
Jonathan Tah,Bayer 04 Leverkusen,Germany,7500000
Jonathan Tah,Bayer 04 Leverkusen,,7500000
Leighton Baines,Everton,England,7500000
Leighton Baines,Everton,,7500000
Lucas Piazón,Chelsea,England,7500000
Lucas Piazón,Chelsea,,7500000
Luis Suárez,AFC Ajax,Netherlands,7500000
Roger,SL Benfica,Portugal,7500000
Roger,SL Benfica,,7500000
Saphir Taider,Inter,Italy,7500000
Saphir Taider,Inter,,7500000
Tiago Ilori,Liverpool,England,7500000
Tiago Ilori,Liverpool,,7500000
Wesley,SV Werder Bremen,Germany,7500000
Wesley,SV Werder Bremen,,7500000
Ashley Cole,Chelsea,England,7400000
Ashley Cole,Chelsea,,7400000
Tim Howard,Everton,England,7400000
Tim Howard,Everton,,7400000
James Rodríguez,FC Porto,Portugal,7350000
Maarten Stekelenburg,AS Roma,Italy,7330000
Emanuele Giaccherini,Juventus,Italy,7250000
Diogo Jota,Atlético Madrid,Spain,7200000
Jonathas,Real Sociedad,Spain,7200000
Naldo,VfL Wolfsburg,Germany,7200000
Naldo,VfL Wolfsburg,,7200000
Arthur Masuaku,West Ham United,Switzerland,7100000
Arthur Masuaku,West Ham United,,7100000
André Santos,Arsenal,England,7000000
André Santos,Arsenal,,7000000
Anwar El Ghazi,LOSC Lille,France,7000000
Anwar El Ghazi,LOSC Lille,,7000000
Borja Valero,Fiorentina,Italy,7000000
Carlos Eduardo,TSG 1899 Hoffenheim,Germany,7000000
Carlos Eduardo,TSG 1899 Hoffenheim,,7000000
Cédric Soares,Southampton,England,7000000
Cédric Soares,Southampton,,7000000
Diego,FC Porto,Portugal,7000000
Diego Llorente,Real Sociedad,Spain,7000000
Diego Llorente,Real Sociedad,,7000000
Elias,Atlético Madrid,Spain,7000000
Gerónimo Rulli,Real Sociedad,Spain,7000000
Gerónimo Rulli,Real Sociedad,,7000000
Gökhan Inler,Leicester City,England,7000000
Iago Falque,AS Roma,Italy,7000000
Iago Falque,AS Roma,,7000000
Javi García,SL Benfica,Portugal,7000000
Jorge Meré,1. FC Köln,Germany,7000000
Jorge Meré,1. FC Köln,,7000000
Juanmi,Southampton,Spain,7000000
Juanmi,Southampton,,7000000
Marcelo,Olympique Lyonnais,France,7000000
Mathew Ryan,Valencia CF,Spain,7000000
Mathew Ryan,Valencia CF,,7000000
Nuri Sahin,Borussia Dortmund,Germany,7000000
Pablo Hernández,Swansea City,England,7000000
Pablo Hernández,Swansea City,,7000000
Philipp Wollscheid,Bayer 04 Leverkusen,Germany,7000000
Philipp Wollscheid,Bayer 04 Leverkusen,,7000000
Rio Mavuba,LOSC Lille,France,7000000
Ryad Boudebouz,Real Betis,Spain,7000000
Ryad Boudebouz,Real Betis,,7000000
Ryan Babel,TSG 1899 Hoffenheim,Germany,7000000
Sidnei,SL Benfica,Portugal,7000000
Víctor Camarasa,Real Betis,Spain,7000000
Víctor Camarasa,Real Betis,,7000000
Vlad Chiriches,SSC Napoli,Italy,7000000
Wahbi Khazri,AS Saint-Étienne,France,7000000
Yohan Benalouane,Leicester City,England,7000000
Yohan Benalouane,Leicester City,,7000000
Christian Kabasele,Watford,England,6950000
Christian Kabasele,Watford,,6950000
Patrick Bamford,Middlesbrough,England,6900000
Patrick Bamford,Middlesbrough,,6900000
Florin Gardos,Southampton,England,6800000
Florin Gardos,Southampton,,6800000
Maicon,Inter,Italy,6800000
Mathieu Bodmer,Olympique Lyonnais,France,6800000
Mathieu Bodmer,Olympique Lyonnais,,6800000
Eliaquim Mangala,FC Porto,Portugal,6750000
Éder,Swansea City,England,6700000
Dele Alli,Tottenham Hotspur,England,6630000
Dele Alli,Tottenham Hotspur,,6630000
Daniel Amartey,Leicester City,England,6600000
Daniel Amartey,Leicester City,,6600000
Alex Telles,FC Porto,Portugal,6500000
Alex Telles,FC Porto,,6500000
Alexander Merkel,Genoa,Italy,6500000
Alexander Merkel,Genoa,,6500000
Álvaro Pereira,FC Porto,Portugal,6500000
Gervinho,LOSC Lille,France,6500000
Jozy Altidore,Villarreal CF,Spain,6500000
Lamine Koné,Sunderland,England,6500000
Lamine Koné,Sunderland,,6500000
Lewis Holtby,Hamburger SV,Germany,6500000
Lewis Holtby,Hamburger SV,,6500000
Libor Kozak,Aston Villa,England,6500000
Libor Kozak,Aston Villa,,6500000
Lucas Castro,Cagliari Calcio,Italy,6500000
Lucas Castro,Cagliari Calcio,,6500000
Marcelo,Real Madrid CF,Spain,6500000
Matt Phillips,West Bromwich Albion,England,6500000
Matt Phillips,West Bromwich Albion,,6500000
Sidnei,RC Deportivo de La Coruña,Spain,6500000
Steven Berghuis,Watford,England,6500000
Steven Berghuis,Watford,,6500000
Wendell,Bayer 04 Leverkusen,Germany,6500000
Wendell,Bayer 04 Leverkusen,,6500000
Willy Boly,FC Porto,Portugal,6500000
Yoan Gouffran,Girondins de Bordeaux,France,6500000
Yoan Gouffran,Girondins de Bordeaux,,6500000
Aaron Ramsey,Arsenal,England,6400000
Aaron Ramsey,Arsenal,,6400000
Edimilson Fernandes,West Ham United,Switzerland,6400000
Edimilson Fernandes,West Ham United,,6400000
Callum McManaman,West Bromwich Albion,England,6350000
Callum McManaman,West Bromwich Albion,,6350000
Ricardo Quaresma,FC Barcelona,Spain,6350000
Jordon Mutch,Crystal Palace,England,6340000
Jordon Mutch,Crystal Palace,,6340000
Emmanuel Rivière,Newcastle United,England,6320000
Felipe,Fiorentina,Italy,6300000
Felipe,Fiorentina,,6300000
Lisandro López,SL Benfica,Portugal,6300000
Ron Vlaar,Feyenoord,,6300000
Valon Behrami,West Ham United,England,6300000
Loris Karius,Liverpool,England,6200000
Loris Karius,Liverpool,,6200000
Marko Arnautovic,SV Werder Bremen,Germany,6200000
Aaron Lennon,Everton,England,6000000
Aaron Lennon,Everton,,6000000
Adil Rami,Valencia CF,Spain,6000000
Aly Cissokho,Valencia CF,Spain,6000000
Carlos Sánchez,Aston Villa,England,6000000
Carlos Sánchez,Aston Villa,,6000000
Casemiro,Real Madrid CF,Spain,6000000
Casemiro,Real Madrid CF,,6000000
César Azpilicueta,Olympique de Marseille,France,6000000
Claudio Beauvue,Olympique Lyonnais,France,6000000
Claudio Beauvue,Olympique Lyonnais,,6000000
Daniel Wass,Valencia CF,Spain,6000000
Daniel Wass,Valencia CF,,6000000
Eduardo Vargas,TSG 1899 Hoffenheim,Germany,6000000
Gaël Kakuta,Sevilla FC,Spain,6000000
Gaël Kakuta,Sevilla FC,,6000000
Graziano Pellè,AZ Alkmaar,Netherlands,6000000
Gregory van der Wiel,Paris Saint-Germain,France,6000000
Gregory van der Wiel,Paris Saint-Germain,,6000000
Hatem Ben Arfa,Newcastle United,England,6000000
Henri Saivet,Newcastle United,England,6000000
Henri Saivet,Newcastle United,,6000000
Iván Ramis,Wigan Athletic,England,6000000
Iván Ramis,Wigan Athletic,,6000000
Javi Martínez,Athletic Club de Bilbao,Spain,6000000
Jimmy Briand,Olympique Lyonnais,France,6000000
Jimmy Briand,Olympique Lyonnais,,6000000
Jonathan de Guzmán,SSC Napoli,Italy,6000000
Kiko Casilla,Real Madrid CF,Spain,6000000
Kiko Casilla,Real Madrid CF,,6000000
Leandro Paredes,AS Roma,Italy,6000000
Leandro Paredes,AS Roma,,6000000
Mathieu Valbuena,Olympique Lyonnais,France,6000000
Mathieu Valbuena,Olympique Lyonnais,,6000000
Michael Ballack,FC Bayern Munich,Germany,6000000
Michael Ballack,FC Bayern Munich,,6000000
Nacho Monreal,Málaga CF,Spain,6000000
Pedro Obiang,West Ham United,England,6000000
Pedro Obiang,West Ham United,,6000000
Pelé,FC Porto,Portugal,6000000
Phil Jagielka,Everton,England,6000000
Phil Jagielka,Everton,,6000000
Ricardo Quaresma,FC Porto,Portugal,6000000
Rodrigo,SL Benfica,Portugal,6000000
Roque Mesa,Sevilla FC,Spain,6000000
Valon Behrami,Hamburger SV,Germany,6000000
Zakaria Labyad,AFC Ajax,Netherlands,6000000
Zakaria Labyad,AFC Ajax,,6000000
Benjamin Stambouli,Tottenham Hotspur,England,5900000
Steven Davis,Fulham,England,5900000
David López,Athletic Club de Bilbao,Spain,5800000
Marquinhos,AS Roma,Italy,5700000
Paddy McNair,Middlesbrough,England,5700000
Paddy McNair,Middlesbrough,,5700000
Michel Vorm,Tottenham Hotspur,England,5690000
Michel Vorm,Tottenham Hotspur,,5690000
Davide Santon,Newcastle United,England,5650000
Ezequiel Lavezzi,SSC Napoli,Italy,5600000
James McClean,Stoke City,England,5600000
James McClean,Stoke City,,5600000
João Moutinho,Wolverhampton Wanderers,England,5600000
Maarten Stekelenburg,Fulham,England,5600000
Ezequiel Garay,SL Benfica,Portugal,5500000
Gelson Fernandes,Manchester City,Switzerland,5500000
Hulk,FC Porto,Portugal,5500000
Hulk,FC Porto,,5500000
Ilkay Gündogan,Borussia Dortmund,Germany,5500000
Ishak Belfodil,TSG 1899 Hoffenheim,Germany,5500000
Julian Schieber,Borussia Dortmund,Germany,5500000
Julian Schieber,Borussia Dortmund,,5500000
Leroy Fer,Norwich City,England,5500000
Leroy Fer,FC Twente,Netherlands,5500000
Marek Hamsik,SSC Napoli,Italy,5500000
Marek Hamsik,SSC Napoli,,5500000
Mehmet Topal,Valencia CF,Spain,5500000
Mehmet Topal,Valencia CF,,5500000
Riccardo Montolivo,Fiorentina,Italy,5500000
Riccardo Montolivo,Fiorentina,,5500000
Yaya Touré,AS Monaco,France,5500000
Falcao,FC Porto,Portugal,5430000
Pape Souaré,Crystal Palace,England,5330000
Pape Souaré,Crystal Palace,,5330000
David López,SSC Napoli,Italy,5300000
Ezequiel Schelotto,Inter,Italy,5300000
Ezequiel Schelotto,Inter,,5300000
Maxi Moralez,Atalanta,Italy,5300000
Maxi Moralez,Atalanta,,5300000
Gerard Piqué,Manchester United,England,5250000
Gylfi Sigurdsson,TSG 1899 Hoffenheim,Germany,5200000
Renato Augusto,Bayer 04 Leverkusen,Germany,5200000
Renato Augusto,Bayer 04 Leverkusen,,5200000
Slobodan Rajkovic,Chelsea,England,5200000
Slobodan Rajkovic,Chelsea,,5200000
Ronaldinho,Paris Saint-Germain,France,5100000
Alex,Paris Saint-Germain,France,5000000
Alexander Büttner,Manchester United,England,5000000
Alexander Büttner,Manchester United,,5000000
Anders Lindegaard,Manchester United,England,5000000
Anders Lindegaard,Manchester United,,5000000
Anthony Martial,AS Monaco,France,5000000
Cristian Sapunaru,FC Porto,Portugal,5000000
Cristian Sapunaru,FC Porto,,5000000
Daniele Rugani,Juventus,Italy,5000000
Daniele Rugani,Juventus,,5000000
Diafra Sakho,West Ham United,England,5000000
Dória,Olympique de Marseille,France,5000000
Dória,Olympique de Marseille,,5000000
Emre Can,Bayer 04 Leverkusen,Germany,5000000
Eric Dier,Tottenham Hotspur,England,5000000
Eric Dier,Tottenham Hotspur,,5000000
Ezequiel Muñoz,US Palermo,Italy,5000000
Ezequiel Muñoz,US Palermo,,5000000
Georginio Wijnaldum,PSV Eindhoven,Netherlands,5000000
Gerard Piqué,FC Barcelona,Spain,5000000
Hilton,Olympique de Marseille,France,5000000
Hilton,Olympique de Marseille,,5000000
Ivan Rakitic,FC Schalke 04,Germany,5000000
Jamaal Lascelles,Newcastle United,England,5000000
Jamaal Lascelles,Newcastle United,,5000000
Jefferson Montero,Swansea City,England,5000000
Jefferson Montero,Swansea City,,5000000
Jérémy Mathieu,Toulouse FC,France,5000000
José Callejón,Real Madrid CF,Spain,5000000
Karl Darlow,Newcastle United,England,5000000
Karl Darlow,Newcastle United,,5000000
Luca Waldschmidt,SC Freiburg,Germany,5000000
Luca Waldschmidt,SC Freiburg,,5000000
Mesut Özil,SV Werder Bremen,Germany,5000000
Nemanja Matic,SL Benfica,Portugal,5000000
Patrick Helmes,VfL Wolfsburg,Germany,5000000
Patrick Helmes,VfL Wolfsburg,,5000000
Petr Cech,Stade Rennais FC,France,5000000
Rafael,SSC Napoli,Italy,5000000
Rafael,SSC Napoli,,5000000
Romain Alessandrini,Olympique de Marseille,France,5000000
Romain Alessandrini,Olympique de Marseille,,5000000
Sergi Gómez,Sevilla FC,Spain,5000000
Sergi Gómez,Sevilla FC,,5000000
Tomás Pina,Villarreal CF,Spain,5000000
Tomás Pina,Villarreal CF,,5000000
Nikica Jelavic,Queens Park Rangers,Scotland,4900000
Muhamed Besic,Everton,England,4800000
Muhamed Besic,Everton,,4800000
Aaron Cresswell,West Ham United,England,4750000
Aaron Cresswell,West Ham United,,4750000
Robert Lewandowski,Borussia Dortmund,Germany,4750000
Robert Lewandowski,Borussia Dortmund,,4750000
Dante,FC Bayern Munich,Germany,4700000
Dante,FC Bayern Munich,,4700000
Jores Okore,Aston Villa,England,4700000
Jores Okore,Aston Villa,,4700000
Matthew Taylor,Bolton Wanderers,England,4700000
Matthew Taylor,Bolton Wanderers,,4700000
Bryan Oviedo,Everton,England,4500000
Bryan Oviedo,Everton,,4500000
Deivid,Girondins de Bordeaux,France,4500000
Eduardo,Genoa,Italy,4500000
Franco Vázquez,US Palermo,Italy,4500000
Guilherme,Udinese Calcio,Italy,4500000
Guilherme,Udinese Calcio,,4500000
Kevin Nolan,Newcastle United,England,4500000
Kevin Nolan,Newcastle United,,4500000
Kyle Bartley,West Bromwich Albion,England,4500000
Kyle Bartley,West Bromwich Albion,,4500000
Kyle Lafferty,Norwich City,Italy,4500000
Kyle Lafferty,Queens Park Rangers,Scotland,4500000
Mame Diouf,Manchester United,England,4500000
Mame Diouf,Manchester United,,4500000
Manuel da Costa,Fiorentina,Italy,4500000
Manuel da Costa,Fiorentina,,4500000
Marquinhos,Bayer 04 Leverkusen,Germany,4500000
Nenê,Cagliari Calcio,Italy,4500000
Neven Subotic,Borussia Dortmund,Germany,4500000
Neven Subotic,Borussia Dortmund,,4500000
Nicolai Müller,Hamburger SV,Germany,4500000
Nicolai Müller,Hamburger SV,,4500000
Wellington,TSG 1899 Hoffenheim,Germany,4500000
Wellington,TSG 1899 Hoffenheim,,4500000
Mohamed Diamé,Hull City,England,4400000
Mohamed Diamé,Hull City,,4400000
Steven Nzonzi,Stoke City,England,4400000
Arjen Robben,PSV Eindhoven,Netherlands,4300000
Raffael,Hertha BSC Berlin,Germany,4300000
Raffael,Hertha BSC Berlin,,4300000
Adil Rami,AC Milan,Italy,4250000
Juanfran,Atlético Madrid,Spain,4250000
Juanfran,Atlético Madrid,,4250000
Carles Gil,Aston Villa,England,4200000
Carles Gil,Aston Villa,,4200000
Winston Reid,West Ham United,England,4200000
Winston Reid,West Ham United,,4200000
Fraizer Campbell,Sunderland,England,4100000
Fraizer Campbell,Sunderland,,4100000
Luciano Narsingh,PSV Eindhoven,Netherlands,4100000
Luciano Narsingh,PSV Eindhoven,,4100000
Alex Song,Arsenal,England,4000000
Dídac Vilà,AC Milan,Italy,4000000
Dídac Vilà,AC Milan,,4000000
Edin Dzeko,VfL Wolfsburg,Germany,4000000
Héctor Moreno,AZ Alkmaar,Netherlands,4000000
Héctor Moreno,AZ Alkmaar,,4000000
Ismail Aissati,AFC Ajax,Netherlands,4000000
Ismail Aissati,AFC Ajax,,4000000
Javi García,Real Madrid CF,Spain,4000000
Joel Robles,Everton,Spain,4000000
Joel Robles,Everton,,4000000
Kolbeinn Sigthórsson,AFC Ajax,Netherlands,4000000
Kolbeinn Sigthórsson,AFC Ajax,,4000000
Marcos Rojo,Sporting CP,Portugal,4000000
Marcus Berg,FC Groningen,Netherlands,4000000
Marvin Emnes,Middlesbrough,England,4000000
Marvin Emnes,Middlesbrough,,4000000
Michaël Ciani,Girondins de Bordeaux,France,4000000
Michaël Ciani,Girondins de Bordeaux,,4000000
Nenê,RC Celta de Vigo,Spain,4000000
Nicolas Isimat-Mirin,AS Monaco,France,4000000
Nicolas Isimat-Mirin,AS Monaco,,4000000
Nicolás Lodeiro,AFC Ajax,Netherlands,4000000
Nicolás Lodeiro,AFC Ajax,,4000000
Nicolás Otamendi,FC Porto,Portugal,4000000
Oussama Assaidi,Liverpool,England,4000000
Oussama Assaidi,Liverpool,,4000000
Ricardo Costa,VfL Wolfsburg,Germany,4000000
Ricardo Costa,VfL Wolfsburg,,4000000
Roberto Firmino,TSG 1899 Hoffenheim,Germany,4000000
Rod Fanni,Olympique de Marseille,France,4000000
Rod Fanni,Olympique de Marseille,,4000000
Romain Hamouma,AS Saint-Étienne,France,4000000
Romain Hamouma,AS Saint-Étienne,,4000000
Salomon Kalou,Chelsea,England,4000000
Salomon Kalou,Chelsea,,4000000
Scott Carson,West Bromwich Albion,England,4000000
Scott Carson,West Bromwich Albion,,4000000
Simon Kjær,US Palermo,Italy,4000000
Souza,Paris Saint-Germain,France,4000000
Souza,Paris Saint-Germain,,4000000
Valentin Stocker,Hertha BSC Berlin,Germany,4000000
Valentin Stocker,Hertha BSC Berlin,,4000000
Vieirinha,VfL Wolfsburg,Germany,4000000
Vieirinha,VfL Wolfsburg,,4000000
Wilfried Bony,Vitesse,Netherlands,4000000
Salvatore Sirigu,Paris Saint-Germain,France,3900000
Salvatore Sirigu,Paris Saint-Germain,,3900000
Ryan Bennett,Norwich City,England,3850000
Ryan Bennett,Norwich City,,3850000
Adrian Mariappa,Reading,England,3800000
Adrian Mariappa,Reading,,3800000
Bakary Sako,Wolverhampton Wanderers,England,3800000
Bakary Sako,Wolverhampton Wanderers,,3800000
Christian Fuchs,FC Schalke 04,Germany,3800000
Christian Fuchs,FC Schalke 04,,3800000
Jack Butland,Stoke City,England,3800000
Jack Butland,Stoke City,,3800000
Marcelo,PSV Eindhoven,Netherlands,3800000
Philippe Coutinho,Inter,Italy,3800000
Ron Vlaar,Aston Villa,England,3800000
Sokratis,Genoa,Switzerland,3800000
Steven Davis,Queens Park Rangers,Scotland,3800000
Maicon,Manchester City,England,3750000
Matthew Lowton,Aston Villa,England,3750000
Matthew Lowton,Aston Villa,,3750000
Michael Bradley,AS Roma,Italy,3750000
Michael Bradley,AS Roma,,3750000
Ante Vukusic,Pescara,Italy,3700000
Ante Vukusic,Pescara,,3700000
Jonathas,Pescara,Italy,3700000
Luís Neto,Siena,Italy,3650000
Luís Neto,Siena,,3650000
Marc Wilson,Stoke City,England,3600000
Marc Wilson,Stoke City,,3600000
Marvin Sordell,Bolton Wanderers,England,3600000
Marvin Sordell,Bolton Wanderers,,3600000
Alexander Tettey,Stade Rennais FC,France,3500000
Alexander Tettey,Stade Rennais FC,,3500000
Deivid,Sporting CP,Portugal,3500000
Gelson Fernandes,AS Saint-Étienne,England,3500000
Jefferson Farfán,PSV Eindhoven,Netherlands,3500000
Neto,Fiorentina,Italy,3500000
Neto,Fiorentina,,3500000
Thomas Buffel,Queens Park Rangers,Scotland,3500000
Thomas Buffel,Queens Park Rangers,,3500000
Daniele Bonera,AC Milan,Italy,3300000
Daniele Bonera,AC Milan,,3300000
Jonathan Walters,Stoke City,England,3300000
Jonathan Walters,Stoke City,,3300000
Míchel,Birmingham City,Spain,3300000
Míchel,Birmingham City,,3300000
Emmanuel Adebayor,AS Monaco,France,3200000
Alexis Sánchez,Udinese Calcio,Italy,3000000
Carlos Vela,Arsenal,England,3000000
José Manuel Jurado,Atlético Madrid,Spain,3000000
Maicon,AS Monaco,France,3000000
Pedro Mendes,Tottenham Hotspur,England,3000000
Pedro Mendes,Tottenham Hotspur,,3000000
Robert Green,West Ham United,England,3000000
Robert Green,West Ham United,,3000000
Wayne Routledge,Tottenham Hotspur,England,3000000
Wayne Routledge,Tottenham Hotspur,,3000000
Emanuel Pogatetz,Middlesbrough,England,2710000
Emanuel Pogatetz,Middlesbrough,,2710000
Ron Vlaar,Feyenoord,Netherlands,2500000
Thiago Silva,FC Porto,Portugal,2500000
Noé Pamarot,Tottenham Hotspur,England,2400000
Noé Pamarot,Tottenham Hotspur,,2400000
Nuno Valente,Everton,England,2000000
Nuno Valente,Everton,,2000000
Paulo Assunção,FC Porto,Portugal,2000000
Paulo Assunção,FC Porto,,2000000
Pepe,FC Porto,Portugal,2000000
