Team_to,Position,country_name,fees
Lazio,Centre-Forward,Italy,90560000
Borussia Dortmund,Left Winger,Germany,90190000
Portsmouth,,England,89230000
Sporting CP,,Portugal,88110000
Southampton,Centre-Forward,England,88050000
VfB Stuttgart,,Germany,87700000
Everton,Centre-Back,England,87200000
Real Sociedad,,Spain,87200000
Juventus,Goalkeeper,Italy,85380000
VfL Wolfsburg,Centre-Back,Germany,85300000
Sassuolo,,Italy,85200000
Genoa,Centre-Forward,Italy,84900000
Tottenham Hotspur,Defensive Midfield,England,84750000
AS Saint-Étienne,,France,82700000
Norwich City,,England,82450000
FC Bayern Munich,Left Winger,Germany,82000000
VfL Wolfsburg,Centre-Forward,Germany,81300000
FC Bayern Munich,Defensive Midfield,Germany,81250000
Real Madrid CF,Right-Back,Spain,81000000
Manchester City,Goalkeeper,England,80800000
Arsenal,Attacking Midfield,England,79000000
Blackburn Rovers,,England,78280000
Burnley,,England,78100000
Atalanta,,Italy,77250000
AS Monaco,Left Winger,France,77060000
Paris Saint-Germain,Attacking Midfield,France,76700000
Southampton,Centre-Back,England,76150000
AS Roma,Centre-Forward,Italy,76100000
Borussia Dortmund,Central Midfield,Germany,75400000
Juventus,Second Striker,Italy,75000000
West Ham United,Centre-Back,England,74600000
RC Deportivo de La Coruña,,Spain,74040000
Tottenham Hotspur,Right Winger,England,73100000
Olympique de Marseille,Attacking Midfield,France,72150000
AS Roma,Second Striker,Italy,72000000
Borussia Dortmund,Attacking Midfield,Germany,72000000
Stoke City,Centre-Forward,England,71900000
Borussia Dortmund,Centre-Forward,Germany,71350000
Bologna,,Italy,71020000
Leicester City,Defensive Midfield,England,70700000
Arsenal,Left Winger,England,70500000
Bayer 04 Leverkusen,Left Winger,Germany,69700000
Sampdoria,Centre-Forward,Italy,68950000
Bayer 04 Leverkusen,Centre-Forward,Germany,68300000
Manchester United,Left-Back,England,68000000
Stade Rennais FC,Centre-Forward,France,67700000
Chelsea,Right-Back,England,67600000
West Ham United,Centre-Forward,England,67590000
PSV Eindhoven,Centre-Forward,Netherlands,67300000
West Ham United,Left Winger,England,67150000
Swansea City,Centre-Forward,England,67100000
SSC Napoli,Central Midfield,Italy,67000000
FC Bayern Munich,Right Winger,Germany,66800000
AC Milan,Central Midfield,Italy,66700000
AC Milan,Defensive Midfield,Italy,66500000
Arsenal,Defensive Midfield,England,66500000
Inter,Right Winger,Italy,65800000
SSC Napoli,Defensive Midfield,Italy,65800000
Olympique de Marseille,Centre-Back,France,65500000
Fulham,Centre-Forward,England,65280000
Inter,Defensive Midfield,Italy,64950000
VfL Wolfsburg,Left Winger,Germany,64750000
West Bromwich Albion,Centre-Forward,England,64530000
Aston Villa,Central Midfield,England,63180000
Málaga CF,,Spain,61800000
AS Monaco,Attacking Midfield,France,61500000
Aston Villa,Centre-Back,England,61100000
AC Milan,Left Winger,Italy,61000000
VfL Wolfsburg,Attacking Midfield,Germany,61000000
AS Roma,Right Winger,Italy,60900000
AFC Ajax,Centre-Forward,Netherlands,60700000
Sevilla FC,Defensive Midfield,Spain,60700000
Real Madrid CF,Left-Back,Spain,60500000
Juventus,Left Winger,Italy,60250000
Real Zaragoza,,Spain,60050000
FC Barcelona,Left-Back,Spain,60000000
AS Roma,Attacking Midfield,Italy,59900000
Tottenham Hotspur,Right-Back,England,59800000
Paris Saint-Germain,Left-Back,France,59500000
US Palermo,Centre-Forward,Italy,58950000
Manchester United,Right-Back,England,58900000
Crystal Palace,Centre-Forward,England,58050000
Inter,Goalkeeper,Italy,58050000
SL Benfica,Centre-Forward,Portugal,57520000
FC Schalke 04,Centre-Forward,Germany,57400000
Fulham,Central Midfield,England,57350000
Olympique Lyonnais,Centre-Back,France,56900000
Atlético Madrid,Centre-Back,Spain,56300000
Juventus,Left-Back,Italy,56300000
Watford,Centre-Forward,England,55630000
Sunderland,Centre-Back,England,55100000
FC Porto,Central Midfield,Portugal,55050000
AS Monaco,Defensive Midfield,France,55000000
Juventus,Attacking Midfield,Italy,55000000
AS Roma,Left Winger,Italy,54850000
Inter,Left-Back,Italy,54800000
Southampton,Left Winger,Switzerland,54500000
Sevilla FC,Centre-Back,Spain,54100000
AS Monaco,Centre-Back,France,54000000
FC Barcelona,Defensive Midfield,Spain,54000000
Cagliari Calcio,,Italy,53900000
RCD Espanyol,,Spain,53500000
Southampton,Defensive Midfield,England,53500000
VfL Wolfsburg,Central Midfield,Germany,53050000
Celtic,,Scotland,52750000
Stoke City,Central Midfield,England,52200000
FC Schalke 04,Defensive Midfield,Germany,52000000
Liverpool,Attacking Midfield,Spain,52000000
Arsenal,Goalkeeper,England,51850000
Arsenal,Central Midfield,England,51600000
Queens Park Rangers,,Scotland,51600000
Crystal Palace,Centre-Back,England,51150000
Parma,Centre-Forward,Italy,50850000
Atlético Madrid,Defensive Midfield,Spain,49500000
FC Porto,Centre-Back,Portugal,49450000
FC Porto,Attacking Midfield,Portugal,49350000
AC Milan,Right-Back,Italy,49250000
SL Benfica,Right Winger,Portugal,49000000
FC Barcelona,Second Striker,Spain,48900000
FC Porto,Centre-Forward,Portugal,48820000
Everton,Central Midfield,England,48360000
Bolton Wanderers,,England,48300000
Manchester United,Second Striker,England,48000000
Southampton,Attacking Midfield,England,47900000
Liverpool,Right-Back,England,47350000
OGC Nice,,France,47000000
VfL Wolfsburg,Defensive Midfield,Germany,47000000
Villarreal CF,Centre-Back,Spain,46700000
Atlético Madrid,Right Winger,Spain,46500000
FC Bayern Munich,Attacking Midfield,Germany,46000000
AS Monaco,Right Winger,France,45750000
Manchester United,Goalkeeper,England,45730000
Real Betis,Centre-Forward,Spain,45700000
Atlético Madrid,Left-Back,Spain,45500000
Olympique de Marseille,Defensive Midfield,France,45500000
Newcastle United,Right Winger,England,45350000
Liverpool,Left-Back,England,45100000
Tottenham Hotspur,Left Winger,England,44750000
Tottenham Hotspur,Attacking Midfield,England,44630000
AS Roma,Right-Back,Italy,44000000
Fiorentina,Centre-Back,Italy,42300000
Atlético Madrid,Right-Back,Spain,42250000
AS Saint-Étienne,Centre-Forward,France,42200000
Everton,Right Winger,Switzerland,42150000
Paris Saint-Germain,Defensive Midfield,France,42000000
SL Benfica,Attacking Midfield,Portugal,42000000
Hamburger SV,Centre-Back,Germany,41500000
Liverpool,Second Striker,England,41000000
Liverpool,Left Midfield,England,40800000
Olympique Lyonnais,Defensive Midfield,France,40550000
Feyenoord,,Netherlands,40200000
Borussia Dortmund,Right Winger,Germany,40000000
Villarreal CF,Attacking Midfield,Spain,39700000
TSG 1899 Hoffenheim,Centre-Forward,Germany,39000000
Juventus,Left Midfield,Italy,38700000
Sevilla FC,Left Winger,Spain,38200000
SL Benfica,Central Midfield,Portugal,38200000
Liverpool,Right Midfield,England,38000000
AS Roma,Goalkeeper,Italy,37830000
Stoke City,Centre-Back,England,37700000
West Ham United,Defensive Midfield,England,37550000
Arsenal,Right Winger,England,37500000
Atlético Madrid,Central Midfield,Spain,37500000
Real Madrid CF,Right Midfield,Spain,37500000
Middlesbrough,Centre-Back,England,37140000
FC Barcelona,Goalkeeper,Spain,37000000
Paris Saint-Germain,Second Striker,France,36950000
Olympique Lyonnais,Attacking Midfield,France,36900000
Everton,Left-Back,England,36830000
Portsmouth,Centre-Forward,England,36750000
Everton,Goalkeeper,England,36700000
Sassuolo,Centre-Forward,Italy,36700000
AFC Ajax,Attacking Midfield,Netherlands,36400000
Parma,Attacking Midfield,Italy,36400000
Brescia,,Italy,36250000
Fiorentina,Right Winger,Italy,36200000
Chelsea,Right Midfield,England,36000000
Fiorentina,Central Midfield,Italy,36000000
Bayer 04 Leverkusen,Central Midfield,Germany,35900000
Watford,Left Winger,England,35800000
Getafe CF,,Spain,35500000
Newcastle United,Attacking Midfield,England,35200000
Hertha BSC Berlin,,Germany,34950000
Olympique Lyonnais,Central Midfield,France,34700000
Valencia CF,Right-Back,Spain,34700000
