Team_to,Position,country_name,fees
Sunderland,Goalkeeper,England,10820000
UD Almería,,Spain,10800000
RC Deportivo de La Coruña,Centre-Forward,France,10640000
Hertha BSC Berlin,Centre-Forward,Germany,10600000
Bari,Centre-Back,Italy,10500000
Málaga CF,Attacking Midfield,Spain,10500000
Norwich City,Central Midfield,England,10500000
RCD Mallorca,Centre-Forward,Spain,10500000
Real Betis,Central Midfield,Spain,10500000
Real Betis,Centre-Back,Spain,10500000
Sevilla FC,Goalkeeper,Switzerland,10500000
Stade Rennais FC,Central Midfield,France,10500000
Standard Liège,,England,10500000
Vitesse,,Netherlands,10500000
West Bromwich Albion,Attacking Midfield,England,10450000
Swansea City,Attacking Midfield,England,10100000
Bayer 04 Leverkusen,Goalkeeper,Germany,10000000
Bournemouth,Left Winger,England,10000000
Genoa,Second Striker,Italy,10000000
Getafe CF,Right Winger,Spain,10000000
OGC Nice,Defensive Midfield,France,10000000
Paris Saint-Germain,Left Midfield,France,10000000
Portsmouth,Left Winger,England,10000000
Sporting CP,Left Winger,Portugal,10000000
SSC Napoli,Left Winger,Italy,10000000
Swansea City,Centre-Back,England,10000000
Norwich City,Left Midfield,England,9900000
West Bromwich Albion,Central Midfield,Spain,9900000
Arsenal,Left Midfield,England,9800000
Fiorentina,Left-Back,Italy,9800000
Birmingham City,Second Striker,England,9750000
Blackburn Rovers,Defensive Midfield,England,9750000
Parma,Second Striker,Italy,9750000
Queens Park Rangers,Left-Back,Scotland,9750000
Aston Villa,Attacking Midfield,England,9700000
RC Deportivo de La Coruña,Defensive Midfield,Spain,9600000
Atalanta,Centre-Back,Italy,9500000
FC Bayern Munich,Left Midfield,Germany,9500000
Genoa,Goalkeeper,Italy,9500000
PSV Eindhoven,Central Midfield,Netherlands,9500000
SC Braga,Centre-Back,Italy,9500000
Sevilla FC,Right Winger,Spain,9500000
TSG 1899 Hoffenheim,Second Striker,Germany,9500000
Wigan Athletic,Central Midfield,England,9500000
Norwich City,Attacking Midfield,England,9400000
Birmingham City,Goalkeeper,England,9250000
Portsmouth,Centre-Back,England,9250000
Villarreal CF,Second Striker,Spain,9200000
Burnley,Defensive Midfield,England,9100000
AJ Auxerre,Central Midfield,France,9000000
Bolton Wanderers,Centre-Back,England,9000000
FC Empoli,Centre-Forward,Italy,9000000
FC Empoli,,Italy,9000000
FC Lorient,Attacking Midfield,France,9000000
FC Lorient,,France,9000000
FC Sochaux-Montbéliard,,Switzerland,9000000
Fiorentina,Right-Back,Italy,9000000
LOSC Lille,Right-Back,France,9000000
PSV Eindhoven,Defensive Midfield,Netherlands,9000000
RCD Espanyol,Centre-Back,Spain,9000000
RCD Espanyol,Left Winger,Spain,9000000
Sampdoria,Attacking Midfield,Italy,9000000
SSC Napoli,Left-Back,Italy,9000000
Torino,Attacking Midfield,Italy,9000000
Watford,Right-Back,England,8900000
Real Zaragoza,Goalkeeper,Spain,8600000
AS Monaco,Goalkeeper,France,8500000
Montpellier Hérault SC,,France,8500000
Olympique Lyonnais,Goalkeeper,France,8500000
Real Sociedad,Centre-Back,Spain,8500000
Stade Rennais FC,Right Winger,France,8500000
Udinese Calcio,Second Striker,Italy,8500000
Sampdoria,Left Winger,Italy,8400000
Reading,Centre-Back,England,8300000
Udinese Calcio,Left Winger,Italy,8300000
AFC Ajax,Left Winger,Netherlands,8250000
Aston Villa,Right-Back,England,8250000
Birmingham City,Attacking Midfield,England,8250000
Middlesbrough,Right Winger,England,8250000
Athletic Club de Bilbao,Attacking Midfield,Spain,8000000
Bayer 04 Leverkusen,Second Striker,Germany,8000000
FC Nantes,Centre-Forward,France,8000000
Girondins de Bordeaux,Goalkeeper,France,8000000
Le Mans FC,,Italy,8000000
PSV Eindhoven,Left Winger,Netherlands,8000000
RC Celta de Vigo,Central Midfield,Spain,8000000
Reading,Second Striker,England,8000000
Sampdoria,Defensive Midfield,Italy,8000000
Siena,Centre-Forward,Italy,8000000
SSC Napoli,Right-Back,Italy,8000000
Stade Rennais FC,Attacking Midfield,France,8000000
Stade Rennais FC,Defensive Midfield,France,8000000
US Palermo,Right Winger,Spain,8000000
Valencia CF,Second Striker,Spain,8000000
Middlesbrough,Left Midfield,England,7900000
Hellas Verona,Centre-Forward,Italy,7870000
Hellas Verona,,Italy,7870000
Manchester City,Left Midfield,England,7800000
RC Lens,Defensive Midfield,France,7800000
Sampdoria,Centre-Back,Italy,7750000
FC Nantes,Centre-Back,France,7700000
Stoke City,Goalkeeper,England,7550000
AZ Alkmaar,Centre-Back,Netherlands,7500000
Blackburn Rovers,Left Winger,England,7500000
OGC Nice,Attacking Midfield,Italy,7500000
PSV Eindhoven,Left-Back,Netherlands,7500000
SV Werder Bremen,Central Midfield,Germany,7500000
Udinese Calcio,Left-Back,Italy,7500000
West Bromwich Albion,Left-Back,England,7500000
Pescara,Centre-Forward,Italy,7400000
Pescara,,Italy,7400000
Udinese Calcio,Centre-Back,Italy,7200000
1. FC Köln,Centre-Back,Germany,7000000
AS Saint-Étienne,Right Winger,France,7000000
Athletic Club de Bilbao,Centre-Forward,Spain,7000000
Bayer 04 Leverkusen,Defensive Midfield,Germany,7000000
Bournemouth,Central Midfield,England,7000000
Catania,Centre-Back,Italy,7000000
Eintracht Frankfurt,Centre-Forward,Germany,7000000
FC Augsburg,Centre-Back,Germany,7000000
FC Augsburg,,Germany,7000000
FC Porto,Left Midfield,Portugal,7000000
FC Sochaux-Montbéliard,Centre-Forward,Switzerland,7000000
Feyenoord,Second Striker,Netherlands,7000000
Lecce,Centre-Forward,Italy,7000000
Lecce,,Italy,7000000
Parma,Right-Back,Italy,7000000
Real Sociedad,Goalkeeper,Spain,7000000
Southampton,Right Winger,Spain,7000000
Southampton,Right-Back,England,7000000
Swansea City,Right Winger,England,7000000
UD Almería,Left Winger,Spain,7000000
Watford,Centre-Back,England,6950000
SV Werder Bremen,Defensive Midfield,Germany,6900000
Sevilla FC,Left-Back,Spain,6800000
Aston Villa,Goalkeeper,England,6750000
Torino,Right Winger,Italy,6750000
Cagliari Calcio,Goalkeeper,Italy,6700000
Stade Rennais FC,Goalkeeper,France,6700000
Celtic,Central Midfield,Scotland,6600000
Swansea City,Right-Back,England,6600000
Bayer 04 Leverkusen,Left-Back,Germany,6500000
Bologna,Right Winger,Italy,6500000
FC Porto,Left Winger,Portugal,6500000
Feyenoord,Central Midfield,Netherlands,6500000
Hamburger SV,Second Striker,Germany,6500000
Hertha BSC Berlin,Right Winger,Germany,6500000
Lazio,Left-Back,Spain,6500000
Real Betis,Right Winger,Spain,6500000
Sporting CP,Second Striker,Portugal,6500000
SSC Napoli,Right Midfield,Italy,6500000
Stade Rennais FC,Centre-Back,France,6500000
Bolton Wanderers,Central Midfield,England,6400000
RC Deportivo de La Coruña,Left-Back,Spain,6400000
Wigan Athletic,Right Winger,England,6400000
FC Schalke 04,Goalkeeper,Germany,6250000
Hertha BSC Berlin,Left Midfield,Germany,6250000
1. FSV Mainz 05,Centre-Back,Germany,6000000
AS Livorno,Centre-Forward,Spain,6000000
AS Livorno,,Spain,6000000
AS Monaco,Right Midfield,France,6000000
Athletic Club de Bilbao,Defensive Midfield,Spain,6000000
Birmingham City,Left Winger,England,6000000
Bologna,Defensive Midfield,Italy,6000000
Getafe CF,Centre-Forward,Spain,6000000
Getafe CF,Goalkeeper,Spain,6000000
Hannover 96,Defensive Midfield,Germany,6000000
Málaga CF,Left-Back,Spain,6000000
Parma,Left Winger,Italy,6000000
PSV Eindhoven,Second Striker,Netherlands,6000000
RC Celta de Vigo,Defensive Midfield,Spain,6000000
RCD Mallorca,Left-Back,Spain,6000000
Real Betis,Left Winger,Spain,6000000
Real Betis,Right-Back,Spain,6000000
RSC Anderlecht,Central Midfield,Portugal,6000000
RSC Anderlecht,,Portugal,6000000
SC Freiburg,Second Striker,Germany,6000000
VfB Stuttgart,Left Winger,Germany,6000000
Vitesse,Centre-Forward,Netherlands,6000000
Newcastle United,Left Midfield,Spain,5800000
Celtic,Attacking Midfield,Scotland,5700000
SSC Napoli,Attacking Midfield,Italy,5700000
Olympique Lyonnais,Right-Back,France,5600000
FC Twente,Attacking Midfield,Netherlands,5500000
FC Twente,Central Midfield,Netherlands,5500000
FC Twente,Left Midfield,Netherlands,5500000
Feyenoord,Attacking Midfield,Netherlands,5500000
Girondins de Bordeaux,Centre-Back,France,5500000
Portsmouth,Right-Back,England,5500000
Real Betis,Second Striker,Spain,5500000
Sassuolo,Right-Back,Italy,5500000
SL Benfica,Left Midfield,Portugal,5500000
Stade Rennais FC,Second Striker,France,5500000
TSG 1899 Hoffenheim,Goalkeeper,Germany,5500000
Atalanta,Attacking Midfield,Italy,5300000
Everton,Right Midfield,England,5250000
1. FSV Mainz 05,Attacking Midfield,Germany,5000000
AJ Auxerre,Defensive Midfield,France,5000000
AS Saint-Étienne,Central Midfield,France,5000000
AS Saint-Étienne,Left-Back,France,5000000
Bologna,Right Midfield,Italy,5000000
Borussia Dortmund,Right Midfield,Germany,5000000
Brescia,Defensive Midfield,Italy,5000000
Eintracht Frankfurt,Centre-Back,Germany,5000000
FC Schalke 04,Right-Back,Germany,5000000
Genoa,Left Winger,Italy,5000000
Getafe CF,Central Midfield,Spain,5000000
Granada CF,Centre-Forward,Spain,5000000
Montpellier Hérault SC,Centre-Back,France,5000000
OGC Nice,Centre-Back,France,5000000
RC Cesena,Second Striker,Italy,5000000
RC Lens,Left Winger,France,5000000
Sassuolo,Central Midfield,Italy,5000000
Sassuolo,Centre-Back,Italy,5000000
SC Freiburg,Centre-Forward,Germany,5000000
Sevilla FC,Right Midfield,Spain,5000000
SL Benfica,Second Striker,Portugal,5000000
SM Caen,Centre-Forward,France,5000000
SM Caen,,France,5000000
Toulouse FC,Centre-Back,France,5000000
TSG 1899 Hoffenheim,Right Winger,Germany,5000000
Watford,Left-Back,England,5000000
Bologna,Second Striker,Italy,4860000
Birmingham City,Left-Back,England,4800000
FC Utrecht,Centre-Forward,Netherlands,4800000
FC Utrecht,,Netherlands,4800000
FC Basel,Centre-Forward,Switzerland,4750000
Atalanta,Second Striker,Italy,4700000
Bolton Wanderers,Left Midfield,England,4700000
Wigan Athletic,Left-Back,England,4700000
TSG 1899 Hoffenheim,Central Midfield,Germany,4600000
Brescia,Central Midfield,Italy,4550000
AS Monaco,Left Midfield,France,4500000
Bari,Second Striker,Italy,4500000
Celtic,Defensive Midfield,Scotland,4500000
FC Basel,Right-Back,Switzerland,4500000
Fiorentina,Left Winger,Italy,4500000
Fiorentina,Right Midfield,Italy,4500000
Fulham,Left-Back,England,4500000
Getafe CF,Left Winger,Spain,4500000
Granada CF,Centre-Back,Spain,4500000
Hamburger SV,Right Winger,Germany,4500000
Le Mans FC,Centre-Back,Italy,4500000
Parma,Right Winger,Italy,4500000
Portsmouth,Attacking Midfield,England,4500000
Portsmouth,Central Midfield,England,4500000
Portsmouth,Left-Back,England,4500000
Real Zaragoza,Right-Back,Spain,4500000
Sassuolo,Defensive Midfield,Italy,4500000
Sassuolo,Left-Back,Italy,4500000
SC Braga,Defensive Midfield,Portugal,4500000
Stade Rennais FC,Left Midfield,France,4500000
Udinese Calcio,Defensive Midfield,Italy,4500000
Udinese Calcio,Right-Back,Italy,4500000
VfL Wolfsburg,Right Midfield,Germany,4500000
Vitesse,Right-Back,Netherlands,4500000
Blackburn Rovers,Goalkeeper,England,4400000
Hull City,Centre-Back,England,4400000
Wigan Athletic,Defensive Midfield,England,4400000
Hannover 96,Attacking Midfield,Germany,4300000
Hertha BSC Berlin,Second Striker,Germany,4300000
Wigan Athletic,Goalkeeper,England,4300000
Brescia,Second Striker,Italy,4200000
Málaga CF,Right Winger,Spain,4200000
RC Lens,Centre-Back,France,4100000
AJ Auxerre,Right Winger,France,4000000
AS Saint-Étienne,Centre-Back,France,4000000
Blackburn Rovers,Attacking Midfield,England,4000000
Bologna,Centre-Back,Italy,4000000
Catania,Right Winger,Italy,4000000
FC Groningen,Centre-Forward,Netherlands,4000000
FC Groningen,,Netherlands,4000000
Fulham,Right Midfield,England,4000000
Getafe CF,Centre-Back,Spain,4000000
Granada CF,Left-Back,Spain,4000000
Hamburger SV,Central Midfield,Germany,4000000
Hamburger SV,Left Midfield,Germany,4000000
Hertha BSC Berlin,Attacking Midfield,Germany,4000000
Hull City,Left Midfield,England,4000000
RC Celta de Vigo,Attacking Midfield,Spain,4000000
RC Cesena,Centre-Back,Italy,4000000
RCD Espanyol,Defensive Midfield,Spain,4000000
Real Betis,Goalkeeper,Spain,4000000
Sassuolo,Attacking Midfield,Italy,4000000
SC Freiburg,Central Midfield,Germany,4000000
Sporting CP,Centre-Back,Portugal,4000000
Standard Liège,Centre-Back,Italy,4000000
TSG 1899 Hoffenheim,Defensive Midfield,Germany,4000000
VfB Stuttgart,Attacking Midfield,Germany,4000000
Wigan Athletic,Right-Back,England,4000000
Siena,Central Midfield,Italy,3950000
FC Schalke 04,Left-Back,Germany,3800000
Middlesbrough,Right-Back,England,3800000
PSV Eindhoven,Centre-Back,Netherlands,3800000
UD Almería,Centre-Forward,Spain,3800000
Middlesbrough,Left-Back,England,3750000
SSC Napoli,Left Midfield,Italy,3750000
Siena,Centre-Back,Italy,3650000
Blackburn Rovers,Right-Back,England,3600000
Málaga CF,Second Striker,Spain,3600000
Parma,Goalkeeper,Italy,3600000
Parma,Left-Back,Italy,3600000
Wolverhampton Wanderers,Left Midfield,England,3600000
Torino,Second Striker,Italy,3550000
AFC Ajax,Right-Back,Netherlands,3500000
AS Monaco,Second Striker,France,3500000
AS Roma,Left Midfield,Italy,3500000
AS Saint-Étienne,Defensive Midfield,England,3500000
Bayer 04 Leverkusen,Right Midfield,Germany,3500000
FC Twente,Right Winger,Netherlands,3500000
Genoa,Right Winger,Italy,3500000
Le Mans FC,Centre-Forward,Italy,3500000
Málaga CF,Centre-Forward,Spain,3500000
Montpellier Hérault SC,Left Winger,France,3500000
Queens Park Rangers,Right Winger,Scotland,3500000
RC Cesena,Central Midfield,Italy,3500000
RCD Espanyol,Right-Back,Spain,3500000
RCD Mallorca,Left Midfield,Spain,3500000
Real Zaragoza,Centre-Back,Spain,3500000
Real Zaragoza,Left-Back,Spain,3500000
Sampdoria,Right Midfield,Italy,3500000
Standard Liège,Left-Back,England,3500000
Toulouse FC,Central Midfield,France,3500000
US Palermo,Right Midfield,Italy,3500000
Toulouse FC,Attacking Midfield,France,3400000
Bologna,Attacking Midfield,Italy,3360000
AJ Auxerre,Centre-Forward,France,3300000
Fulham,Centre-Back,England,3300000
Wolverhampton Wanderers,Left-Back,England,3250000
Hannover 96,Second Striker,Germany,3100000
AZ Alkmaar,Defensive Midfield,Netherlands,3000000
Blackburn Rovers,Right Midfield,England,3000000
FC Barcelona,Left Midfield,Spain,3000000
Fulham,Second Striker,England,3000000
LOSC Lille,Left Midfield,France,3000000
Olympique de Marseille,Second Striker,France,3000000
RC Lens,Second Striker,France,3000000
RCD Mallorca,Right Winger,Spain,3000000
Sampdoria,Right-Back,Italy,3000000
Stade Rennais FC,Left-Back,France,3000000
Standard Liège,Goalkeeper,France,3000000
Toulouse FC,Second Striker,France,3000000
VfL Wolfsburg,Goalkeeper,Germany,2850000
1. FSV Mainz 05,Second Striker,Germany,2800000
AFC Ajax,Defensive Midfield,Netherlands,2700000
FC Nantes,Right Winger,France,2700000
Bari,Goalkeeper,Italy,2500000
Feyenoord,Centre-Back,Netherlands,2500000
Leicester City,Left-Back,England,2500000
Wigan Athletic,Left Midfield,England,2500000
Chievo Verona,Right Midfield,Italy,2330000
Birmingham City,Defensive Midfield,England,2250000
Blackburn Rovers,Central Midfield,England,2250000
Celtic,Goalkeeper,Scotland,2250000
Bari,Defensive Midfield,Italy,2000000
FC Basel,Centre-Back,Switzerland,2000000
FC Porto,Defensive Midfield,Portugal,2000000
FC Sochaux-Montbéliard,Centre-Back,France,2000000
Feyenoord,Left-Back,Netherlands,2000000
Middlesbrough,Attacking Midfield,England,2000000
RC Lens,Attacking Midfield,France,2000000
RC Lens,Left Midfield,France,2000000
Sampdoria,Left-Back,Italy,2000000
SV Werder Bremen,Right-Back,Germany,2000000
CA Osasuna,Right Winger,Spain,1800000
CA Osasuna,,Spain,1800000
Feyenoord,Right Midfield,Netherlands,1800000
Hertha BSC Berlin,Centre-Back,Germany,1800000
Everton,Second Striker,England,1750000
FC Basel,Attacking Midfield,Switzerland,1600000
Hertha BSC Berlin,Central Midfield,Germany,1500000
Everton,Left Midfield,England,1250000
Club Brugge,Defensive Midfield,England,1200000
Club Brugge,,England,1200000
AJ Auxerre,Left Winger,France,1000000
Feyenoord,Right Winger,Netherlands,1000000
Fulham,Right-Back,England,1000000
AZ Alkmaar,Right Winger,Netherlands,950000
